club_name,player_name,age,position,club_involved_name,fee,transfer_movement,fee_cleaned,league_name,year,season
FC Porto,Jorge Costa,20,Centre-Back,Marítimo,?,in,NA,Liga Nos,1992,1992/1993
FC Porto,Antonio Carlos,28,Central Midfield,América,?,in,NA,Liga Nos,1992,1992/1993
FC Porto,Paulinho Santos,21,Defensive Midfield,Rio Ave FC,?,in,NA,Liga Nos,1992,1992/1993
FC Porto,Rui Jorge,19,Left-Back,Rio Ave FC,?,in,NA,Liga Nos,1992,1992/1993
FC Porto,Paulinho McLaren,22,Forward,Santos FC,?,in,NA,Liga Nos,1992,1992/1993
FC Porto,Bino,19,Defensive Midfield,Rio Ave FC,"End of loanJun 30, 1992",in,0,Liga Nos,1992,1992/1993
FC Porto,Jorge Silva,20,Goalkeeper,Rio Ave FC,"End of loanJun 30, 1992",in,0,Liga Nos,1992,1992/1993
FC Porto,António Folha,21,Left Winger,Braga,?,out,NA,Liga Nos,1992,1992/1993
FC Porto,Kiki,30,Attacking Midfield,Braga,?,out,NA,Liga Nos,1992,1992/1993
FC Porto,Carlos Padrão,32,Goalkeeper,Paços Ferreira,?,out,NA,Liga Nos,1992,1992/1993
FC Porto,Paulo Pereira,26,Right-Back,Vit. Guimarães,?,out,NA,Liga Nos,1992,1992/1993
FC Porto,Jorge Andrade,29,Second Striker,Marítimo,?,out,NA,Liga Nos,1992,1992/1993
FC Porto,José Tavares,27,Central Midfield,Boavista,?,out,NA,Liga Nos,1992,1992/1993
FC Porto,Petar Mihtarski,25,Forward,Famalicão,Loan,out,0,Liga Nos,1992,1992/1993
SL Benfica,João Pinto,20,Second Striker,Boavista,£2.25m,in,2.25,Liga Nos,1992,1992/1993
SL Benfica,Pedro Roma,21,Goalkeeper,Coimbra,?,in,NA,Liga Nos,1992,1992/1993
SL Benfica,Sergey Yuran,23,Centre-Forward,Dynamo Kyiv,?,in,NA,Liga Nos,1992,1992/1993
SL Benfica,Luis Mariano,23,Central Midfield,Estoril,?,in,NA,Liga Nos,1992,1992/1993
SL Benfica,Hélder Cristóvão,21,Centre-Back,Estoril,?,in,NA,Liga Nos,1992,1992/1993
SL Benfica,Fernando Mendes,25,Left-Back,Boavista,?,in,NA,Liga Nos,1992,1992/1993
SL Benfica,Mozer,31,Centre-Back,Marseille,?,in,NA,Liga Nos,1992,1992/1993
SL Benfica,José Dominguez,18,Left Winger,Benfica U19,-,in,0,Liga Nos,1992,1992/1993
SL Benfica,Jose Quitongo,17,Right Winger,Benfica U19,-,in,0,Liga Nos,1992,1992/1993
SL Benfica,Kenedy,18,Left-Back,Benfica U19,-,in,0,Liga Nos,1992,1992/1993
SL Benfica,Abel Silva,22,Right-Back,Marítimo,"End of loanJun 30, 1992",in,0,Liga Nos,1992,1992/1993
SL Benfica,Rui Bento,20,Defensive Midfield,Boavista,?,out,NA,Liga Nos,1992,1992/1993
SL Benfica,João Pires,21,Forward,Estoril,?,out,NA,Liga Nos,1992,1992/1993
SL Benfica,Jonas Thern,25,Central Midfield,SSC Napoli,?,out,NA,Liga Nos,1992,1992/1993
SL Benfica,Pedro Valido,22,Defender,Marítimo,?,out,NA,Liga Nos,1992,1992/1993
SL Benfica,Hugo Costa,18,Centre-Back,Gil Vicente,?,out,NA,Liga Nos,1992,1992/1993
SL Benfica,Mats Magnusson,28,Centre-Forward,Helsingborg,?,out,NA,Liga Nos,1992,1992/1993
SL Benfica,José Dominguez,18,Left Winger,Sintrense,Loan,out,0,Liga Nos,1992,1992/1993
SL Benfica,Manuel Bento,44,Goalkeeper,Retired,-,out,0,Liga Nos,1992,1992/1993
Sporting CP,Sergiy Shcherbakov,21,Attacking Midfield,Shakhtar D.,?,in,NA,Liga Nos,1992,1992/1993
Sporting CP,Bilro,21,Right-Back,Olhanense,?,in,NA,Liga Nos,1992,1992/1993
Sporting CP,Carlos Jorge,25,Centre-Back,Marítimo,?,in,NA,Liga Nos,1992,1992/1993
Sporting CP,Nuno Capucho,20,Right Winger,Gil Vicente,?,in,NA,Liga Nos,1992,1992/1993
Sporting CP,Pedro Barny,25,Centre-Back,Boavista,?,in,NA,Liga Nos,1992,1992/1993
Sporting CP,Stan Valckx,28,Sweeper,PSV Eindhoven,?,in,NA,Liga Nos,1992,1992/1993
Sporting CP,Andrzej Juskowiak,21,Centre-Forward,Lech Poznan,?,in,NA,Liga Nos,1992,1992/1993
Sporting CP,Luís Manuel,21,Defensive Midfield,Ovarense,?,in,NA,Liga Nos,1992,1992/1993
Sporting CP,Porfírio,18,Left Midfield,Sporting U19,-,in,0,Liga Nos,1992,1992/1993
Sporting CP,Careca,24,Attacking Midfield,Famalicão,"End of loanDec 1, 1992",in,0,Liga Nos,1992,1992/1993
Sporting CP,Poejo,18,Defensive Midfield,Sporting U19,-,in,0,Liga Nos,1992,1992/1993
Sporting CP,Pedro Franco,18,Centre-Back,Sporting U19,-,in,0,Liga Nos,1992,1992/1993
Sporting CP,Pedro Franco,18,Centre-Back,Odivelas,Loan,out,0,Liga Nos,1992,1992/1993
Sporting CP,Tomislav Ivkovic,32,Goalkeeper,Estoril,?,out,NA,Liga Nos,1992,1992/1993
Sporting CP,Boncho Genchev,28,Midfielder,Ipswich,?,out,NA,Liga Nos,1992,1992/1993
Sporting CP,Litos,25,Attacking Midfield,Boavista,?,out,NA,Liga Nos,1992,1992/1993
Sporting CP,Pedro Venâncio,28,Centre-Back,Boavista,?,out,NA,Liga Nos,1992,1992/1993
Sporting CP,Paulo Santos,26,Goalkeeper,Sanjoanense,?,out,NA,Liga Nos,1992,1992/1993
Sporting CP,João Luís,30,Right-Back,Palmeiras,?,out,NA,Liga Nos,1992,1992/1993
Sporting CP,Luizinho,34,Centre-Back,Cruzeiro,?,out,NA,Liga Nos,1992,1992/1993
Sporting CP,Careca,23,Attacking Midfield,Famalicão,Loan,out,0,Liga Nos,1992,1992/1993
Sporting CP,Douglas,29,Central Midfield,Cruzeiro,?,out,NA,Liga Nos,1992,1992/1993
Sporting CP,Lima,25,Left Winger,Vit. Guimarães,?,out,NA,Liga Nos,1992,1992/1993
Sporting CP,Tozé,23,Centre-Forward,Boavista,?,out,NA,Liga Nos,1992,1992/1993
Sporting CP,Careca,24,Attacking Midfield,Cruzeiro,?,out,NA,Liga Nos,1992,1992/1993
Sporting CP,Bontcho Guentchev,28,Attacking Midfield,Ipswich,?,out,NA,Liga Nos,1992,1992/1993
Sporting CP,João Oliveira Pinto,20,Right Winger,Vit. Guimarães,?,out,NA,Liga Nos,1992,1992/1993
Sporting CP,Lima,25,Left Winger,Vit. Guimarães,?,out,NA,Liga Nos,1992,1992/1993
Sporting CP,João Luís,30,Right-Back,Palmeiras,?,out,NA,Liga Nos,1992,1992/1993
Sporting CP,Jorginho,30,Centre-Back,Famalicão,?,out,NA,Liga Nos,1992,1992/1993
Boavista Porto FC,José Tavares,27,Central Midfield,FC Porto,?,in,NA,Liga Nos,1992,1992/1993
Boavista Porto FC,Pedro Venâncio,28,Centre-Back,Sporting CP,?,in,NA,Liga Nos,1992,1992/1993
Boavista Porto FC,Zoran Lemajic,31,Goalkeeper,Farense,?,in,NA,Liga Nos,1992,1992/1993
Boavista Porto FC,Erwin Sánchez,23,Attacking Midfield,Estoril,?,in,NA,Liga Nos,1992,1992/1993
Boavista Porto FC,Jojó,21,Central Midfield,Ferroviário,?,in,NA,Liga Nos,1992,1992/1993
Boavista Porto FC,Artur,22,Forward,Unknown,?,in,NA,Liga Nos,1992,1992/1993
Boavista Porto FC,Jaime Alves,27,Right-Back,Vit. Guimarães,?,in,NA,Liga Nos,1992,1992/1993
Boavista Porto FC,Litos,25,Attacking Midfield,Sporting CP,?,in,NA,Liga Nos,1992,1992/1993
Boavista Porto FC,Caetano,25,Left-Back,Vit. Guimarães,?,in,NA,Liga Nos,1992,1992/1993
Boavista Porto FC,Tozé,23,Centre-Forward,Sporting CP,?,in,NA,Liga Nos,1992,1992/1993
Boavista Porto FC,Rui Bento,20,Defensive Midfield,Benfica,?,in,NA,Liga Nos,1992,1992/1993
Boavista Porto FC,Costinha,18,Goalkeeper,Boavista U19,-,in,0,Liga Nos,1992,1992/1993
Boavista Porto FC,João Pinto,20,Second Striker,Benfica,£2.25m,out,2.25,Liga Nos,1992,1992/1993
Boavista Porto FC,Ivan Pudar,30,Goalkeeper,Eintracht Trier,Free Transfer,out,0,Liga Nos,1992,1992/1993
Boavista Porto FC,Litos,18,Centre-Back,Campomaiorense,Free Transfer,out,0,Liga Nos,1992,1992/1993
Boavista Porto FC,Eduard Eranosyan,31,Forward,Leixões,?,out,NA,Liga Nos,1992,1992/1993
Boavista Porto FC,Jojó,22,Central Midfield,Leiria,?,out,NA,Liga Nos,1992,1992/1993
Boavista Porto FC,Fernando Mendes,25,Left-Back,Benfica,?,out,NA,Liga Nos,1992,1992/1993
Boavista Porto FC,Carlos Manuel,34,Central Midfield,Estoril,?,out,NA,Liga Nos,1992,1992/1993
Boavista Porto FC,Coelho,30,Second Striker,Penafiel,?,out,NA,Liga Nos,1992,1992/1993
Boavista Porto FC,Pedro Barny,25,Centre-Back,Sporting CP,?,out,NA,Liga Nos,1992,1992/1993
Boavista Porto FC,Cobra,23,Midfielder,Leixões,?,out,NA,Liga Nos,1992,1992/1993
Boavista Porto FC,Samuel,26,Centre-Back,Odivelas,Loan,out,0,Liga Nos,1992,1992/1993
CS Marítimo,Rodrigo Costa,17,Centre-Back,Piracicaba,Free Transfer,in,0,Liga Nos,1992,1992/1993
CS Marítimo,Christian,17,Centre-Forward,Inter U20,Free Transfer,in,0,Liga Nos,1992,1992/1993
CS Marítimo,Cuca,20,Goalkeeper,Unknown,?,in,NA,Liga Nos,1992,1992/1993
CS Marítimo,Jorge Andrade,29,Second Striker,FC Porto,?,in,NA,Liga Nos,1992,1992/1993
CS Marítimo,Bizarro,22,Goalkeeper,Ovarense,?,in,NA,Liga Nos,1992,1992/1993
CS Marítimo,Pedro Valido,22,Defender,Benfica,?,in,NA,Liga Nos,1992,1992/1993
CS Marítimo,Humberto Silva Nascimento,24,Centre-Back,Vasco da Gama,?,in,NA,Liga Nos,1992,1992/1993
CS Marítimo,Paulo Alves,22,Centre-Forward,Tirsense,?,in,NA,Liga Nos,1992,1992/1993
CS Marítimo,José Soeiro,26,Defender,Vit. Guimarães,?,in,NA,Liga Nos,1992,1992/1993
CS Marítimo,Bruno Fernandes,18,Central Midfield,Marítimo U19,-,in,0,Liga Nos,1992,1992/1993
CS Marítimo,Zeca,17,Attacking Midfield,Marítimo U19,-,in,0,Liga Nos,1992,1992/1993
CS Marítimo,Fernando Brassard,20,Goalkeeper,Gil Vicente,?,out,NA,Liga Nos,1992,1992/1993
CS Marítimo,Peter Hinds,30,Forward,Gil Vicente,?,out,NA,Liga Nos,1992,1992/1993
CS Marítimo,Carlos Jorge,25,Centre-Back,Sporting CP,?,out,NA,Liga Nos,1992,1992/1993
CS Marítimo,Jorge Costa,20,Centre-Back,FC Porto,?,out,NA,Liga Nos,1992,1992/1993
CS Marítimo,Wando,29,Left Winger,Konyaspor,?,out,NA,Liga Nos,1992,1992/1993
CS Marítimo,Abel Silva,22,Right-Back,Benfica,"End of loanJun 30, 1992",out,0,Liga Nos,1992,1992/1993
SC Farense,Barrigana,20,Midfielder,Amarante,Free Transfer,in,0,Liga Nos,1992,1992/1993
SC Farense,Hélder Baptista,20,Midfielder,Torreense,?,in,NA,Liga Nos,1992,1992/1993
SC Farense,Hélder Batista,19,Midfielder,Torreense,?,in,NA,Liga Nos,1992,1992/1993
SC Farense,Hassan,26,Centre-Forward,RCD Mallorca,?,in,NA,Liga Nos,1992,1992/1993
SC Farense,Armando dos Santos,27,Forward,Gil Vicente,?,in,NA,Liga Nos,1992,1992/1993
SC Farense,Quim,32,Defensive Midfield,Rio Ave FC,?,out,NA,Liga Nos,1992,1992/1993
SC Farense,Zoran Lemajic,31,Goalkeeper,Boavista,?,out,NA,Liga Nos,1992,1992/1993
SC Farense,Eugénio,25,Right-Back,Braga,?,out,NA,Liga Nos,1992,1992/1993
SC Farense,Menayane Tueba,29,Defensive Midfield,Gil Vicente,?,out,NA,Liga Nos,1992,1992/1993
Belenenses SAD,Erik Tammer,23,Centre-Forward,Excelsior,?,in,NA,Liga Nos,1992,1992/1993
Belenenses SAD,Djamel Menad,31,Centre-Forward,Famalicão,?,in,NA,Liga Nos,1992,1992/1993
Belenenses SAD,Mauro Soares,23,Defensive Midfield,Unknown,?,in,NA,Liga Nos,1992,1992/1993
Belenenses SAD,João Manuel Pinto,19,Centre-Back,Belenenses U19,-,in,0,Liga Nos,1992,1992/1993
Belenenses SAD,Armando Sá,16,Right-Back,Belenenses U19,-,in,0,Liga Nos,1992,1992/1993
Belenenses SAD,Edmundo,28,Centre-Back,Estrela Amadora,?,out,NA,Liga Nos,1992,1992/1993
Belenenses SAD,Ayan Sadakov,30,Central Midfield,Lok. Plovdiv,?,out,NA,Liga Nos,1992,1992/1993
Belenenses SAD,Nuno Sousa,18,Centre-Forward,Tomar,?,out,NA,Liga Nos,1992,1992/1993
Belenenses SAD,Erik Tammer,23,Centre-Forward,Heerenveen,?,out,NA,Liga Nos,1992,1992/1993
