club_name,player_name,age,position,club_involved_name,fee,transfer_movement,fee_cleaned,league_name,year,season
1. FC Köln,Dirk Schuster,28,Centre-Back,Karlsruher SC,£675k,in,0.675,1 Bundesliga,1996,1996/1997
1. FC Köln,Ion Vladoiu,27,Right Winger,Steaua Bukarest,£675k,in,0.675,1 Bundesliga,1996,1996/1997
1. FC Köln,Bodo Schmidt,28,Centre-Back,Bor. Dortmund,£360k,in,0.36,1 Bundesliga,1996,1996/1997
1. FC Köln,Michael Kostner,27,Sweeper,FC 08 Homburg,£225k,in,0.225,1 Bundesliga,1996,1996/1997
1. FC Köln,Tuncay Nadaroglu,22,Centre-Back,FV Bad Honnef,£45k,in,0.045,1 Bundesliga,1996,1996/1997
1. FC Köln,Uwe Scherr,29,Right Midfield,FC Schalke 04,?,in,NA,1 Bundesliga,1996,1996/1997
1. FC Köln,Christer Fursth,26,Midfielder,Helsingborg,?,in,NA,1 Bundesliga,1996,1996/1997
1. FC Köln,Antonio Ananiev,31,Goalkeeper,Energie Cottbus,?,in,NA,1 Bundesliga,1996,1996/1997
1. FC Köln,Daniel Eschbach,22,Goalkeeper,1.FC Köln II,-,in,0,1 Bundesliga,1996,1996/1997
1. FC Köln,Bodo Illgner,29,Goalkeeper,Real Madrid,£1.80m,out,1.8,1 Bundesliga,1996,1996/1997
1. FC Köln,Dietmar Beiersdorfer,32,Centre-Back,Reggiana,£315k,out,0.315,1 Bundesliga,1996,1996/1997
1. FC Köln,Bjarne Goldbaek,27,Central Midfield,FC Copenhagen,£225k,out,0.225,1 Bundesliga,1996,1996/1997
1. FC Köln,Reinhold Breu,25,Second Striker,Austria Vienna,Free Transfer,out,0,1 Bundesliga,1996,1996/1997
1. FC Köln,Olaf Janßen,30,Defensive Midfield,E. Frankfurt,?,out,NA,1 Bundesliga,1996,1996/1997
1. FC Köln,Reinhard Stumpf,34,Centre-Back,Vegalta Sendai,?,out,NA,1 Bundesliga,1996,1996/1997
1. FC Köln,Guido Jörres,22,Sweeper,F. Düsseldorf,?,out,NA,1 Bundesliga,1996,1996/1997
1. FC Köln,Christian Dollberg,24,Centre-Back,Boca Juniors,?,out,NA,1 Bundesliga,1996,1996/1997
1. FC Köln,Christian Wolski,23,Midfielder,Bonner SC,?,out,NA,1 Bundesliga,1996,1996/1997
Arminia Bielefeld,Stefan Kuntz,33,Centre-Forward,Besiktas,£1.13m,in,1.13,1 Bundesliga,1996,1996/1997
Arminia Bielefeld,Giuseppe Reina,24,Right Winger,Wattenscheid 09,£338k,in,0.338,1 Bundesliga,1996,1996/1997
Arminia Bielefeld,Markos Rainer Rauffmann,29,Centre-Forward,E. Frankfurt,£225k,in,0.225,1 Bundesliga,1996,1996/1997
Arminia Bielefeld,Silvio Meißner,23,Defensive Midfield,Chemnitzer FC,£203k,in,0.203,1 Bundesliga,1996,1996/1997
Arminia Bielefeld,Heiko Gerber,23,Left-Back,Chemnitzer FC,£203k,in,0.203,1 Bundesliga,1996,1996/1997
Arminia Bielefeld,Uwe Fuchs,29,Centre-Forward,Millwall,Free Transfer,in,0,1 Bundesliga,1996,1996/1997
Arminia Bielefeld,Josef Ivanovic,22,Centre-Forward,TuS Quelle,Free Transfer,in,0,1 Bundesliga,1996,1996/1997
Arminia Bielefeld,Rob Maas,26,Defensive Midfield,Feyenoord,Free Transfer,in,0,1 Bundesliga,1996,1996/1997
Arminia Bielefeld,Johann Stenzel,21,Centre-Back,FC St. Pauli II,£32k,in,0.032,1 Bundesliga,1996,1996/1997
Arminia Bielefeld,Matthias Breitkreutz,25,Attacking Midfield,Hansa Rostock,Loan,in,0,1 Bundesliga,1996,1996/1997
Arminia Bielefeld,Günther Schäfer,34,Centre-Back,VfB Stuttgart,?,in,NA,1 Bundesliga,1996,1996/1997
Arminia Bielefeld,Karim Bagheri,22,Defensive Midfield,Persepolis,?,in,NA,1 Bundesliga,1996,1996/1997
Arminia Bielefeld,Hayden Foxe,19,Centre-Back,Ajax,?,in,NA,1 Bundesliga,1996,1996/1997
Arminia Bielefeld,Sonny Silooy,32,Centre-Back,Ajax,?,in,NA,1 Bundesliga,1996,1996/1997
Arminia Bielefeld,Vjekoslav Kovac,20,Centre-Back,A. Bielefeld II,-,in,0,1 Bundesliga,1996,1996/1997
Arminia Bielefeld,Frederik Gößling,18,Goalkeeper,Bielefeld U19,-,in,0,1 Bundesliga,1996,1996/1997
Arminia Bielefeld,Peter Quallo,25,Centre-Back,Hessen Kassel,Free Transfer,out,0,1 Bundesliga,1996,1996/1997
Arminia Bielefeld,Peter Hobday,35,Defensive Midfield,RW Essen,Free Transfer,out,0,1 Bundesliga,1996,1996/1997
Arminia Bielefeld,Ayhan Tumani,24,Centre-Forward,FC Volendam,Free Transfer,out,0,1 Bundesliga,1996,1996/1997
Arminia Bielefeld,Armin Eck,32,Left Midfield,Hessen Kassel,Loan,out,0,1 Bundesliga,1996,1996/1997
Arminia Bielefeld,Ivailo Andonov,28,Forward,CSKA Sofia,Free Transfer,out,0,1 Bundesliga,1996,1996/1997
Arminia Bielefeld,Bodo Sievers,35,Sweeper,SV Holzwickede,Free Transfer,out,0,1 Bundesliga,1996,1996/1997
Arminia Bielefeld,René Dörfel,27,Right-Back,Hessen Kassel,Loan,out,0,1 Bundesliga,1996,1996/1997
Arminia Bielefeld,Mike Schürmann,23,Midfielder,RW Essen,Free Transfer,out,0,1 Bundesliga,1996,1996/1997
Arminia Bielefeld,Angelo Vier,24,Centre-Forward,RW Essen,?,out,NA,1 Bundesliga,1996,1996/1997
Arminia Bielefeld,Stefan Studtrucker,30,Centre-Forward,Hessen Kassel,?,out,NA,1 Bundesliga,1996,1996/1997
Arminia Bielefeld,Markos Rainer Rauffmann,29,Centre-Forward,LASK,Loan,out,0,1 Bundesliga,1996,1996/1997
Arminia Bielefeld,Roland Kopp,31,Midfielder,Retired,-,out,0,1 Bundesliga,1996,1996/1997
Arminia Bielefeld,Frank Geideck,29,Midfielder,Retired,-,out,0,1 Bundesliga,1996,1996/1997
Arminia Bielefeld,Ulrich Stein,41,Goalkeeper,Career break,-,out,0,1 Bundesliga,1996,1996/1997
Bayer 04 Leverkusen,Zé Elias,19,Central Midfield,Corinthians,£3.15m,in,3.15,1 Bundesliga,1996,1996/1997
Bayer 04 Leverkusen,Jens Nowotny,22,Sweeper,Karlsruher SC,£720k,in,0.72,1 Bundesliga,1996,1996/1997
Bayer 04 Leverkusen,Niko Kovac,24,Defensive Midfield,Hertha BSC,£495k,in,0.495,1 Bundesliga,1996,1996/1997
Bayer 04 Leverkusen,Jan Heintze,32,Left-Back,KFC Uerdingen,£450k,in,0.45,1 Bundesliga,1996,1996/1997
Bayer 04 Leverkusen,Robert Kovac,22,Centre-Back,1.FC Nuremberg,£387k,in,0.387,1 Bundesliga,1996,1996/1997
Bayer 04 Leverkusen,Erik Meijer,26,Centre-Forward,KFC Uerdingen,Free Transfer,in,0,1 Bundesliga,1996,1996/1997
Bayer 04 Leverkusen,Lars Leese,26,Goalkeeper,Viktoria Köln,Free Transfer,in,0,1 Bundesliga,1996,1996/1997
Bayer 04 Leverkusen,Manuel Cardoni,23,Attacking Midfield,Jeunesse Esch,Free Transfer,in,0,1 Bundesliga,1996,1996/1997
Bayer 04 Leverkusen,René Rydlewicz,22,Right Midfield,1860 Munich,"End of loanJun 30, 1996",in,0,1 Bundesliga,1996,1996/1997
Bayer 04 Leverkusen,Markus Münch,23,Left-Back,Bayern Munich,£1.17m,out,1.17,1 Bundesliga,1996,1996/1997
Bayer 04 Leverkusen,Ioan Lupescu,27,Central Midfield,Bor. M'gladbach,£585k,out,0.585,1 Bundesliga,1996,1996/1997
Bayer 04 Leverkusen,Mario Tolkmitt,26,Left Midfield,F. Düsseldorf,£180k,out,0.18,1 Bundesliga,1996,1996/1997
Bayer 04 Leverkusen,Holger Fach,33,Centre-Back,F. Düsseldorf,£68k,out,0.068,1 Bundesliga,1996,1996/1997
Bayer 04 Leverkusen,Bernd Schuster,37,Attacking Midfield,UNAM Pumas,Free Transfer,out,0,1 Bundesliga,1996,1996/1997
Bayer 04 Leverkusen,Sebastian Barnes,19,Forward,Orlando Sundogs,Free Transfer,out,0,1 Bundesliga,1996,1996/1997
Bayer 04 Leverkusen,Daniel Ischdonat,20,Goalkeeper,Eintracht Trier,Free Transfer,out,0,1 Bundesliga,1996,1996/1997
Bayer 04 Leverkusen,Ramon Menezes,24,Attacking Midfield,Vasco da Gama,?,out,NA,1 Bundesliga,1996,1996/1997
Bayer 04 Leverkusen,Rodrigo,23,Defender,Corinthians,?,out,NA,1 Bundesliga,1996,1996/1997
Bayer 04 Leverkusen,Rudi Völler,36,Centre-Forward,Retired,-,out,0,1 Bundesliga,1996,1996/1997
Bayer 04 Leverkusen,Josef Nehl,35,Midfielder,Retired,-,out,0,1 Bundesliga,1996,1996/1997
Borussia Dortmund,Paulo Sousa,25,Central Midfield,Juventus,£3.24m,in,3.24,1 Bundesliga,1996,1996/1997
Borussia Dortmund,René Schneider,23,Centre-Back,Hansa Rostock,£2.07m,in,2.07,1 Bundesliga,1996,1996/1997
Borussia Dortmund,Wolfgang Feiersinger,31,Sweeper,Casino Salzburg,£585k,in,0.585,1 Bundesliga,1996,1996/1997
Borussia Dortmund,Jovan Kirovski,20,Right Winger,Man Utd,Free Transfer,in,0,1 Bundesliga,1996,1996/1997
Borussia Dortmund,Scott Booth,25,Centre-Forward,Aberdeen FC,Free Transfer,in,0,1 Bundesliga,1996,1996/1997
Borussia Dortmund,Paul Lambert,26,Defensive Midfield,Motherwell FC,Free Transfer,in,0,1 Bundesliga,1996,1996/1997
Borussia Dortmund,Steinar Pedersen,21,Right-Back,Start,?,in,NA,1 Bundesliga,1996,1996/1997
Borussia Dortmund,Frank Riethmann,20,Midfielder,B. Dortmund II,-,in,0,1 Bundesliga,1996,1996/1997
Borussia Dortmund,Christian Timm,17,Right Winger,B. Dortmund U19,-,in,0,1 Bundesliga,1996,1996/1997
Borussia Dortmund,Marco Kurz,27,Centre-Back,FC Schalke 04,"End of loanJun 30, 1996",in,0,1 Bundesliga,1996,1996/1997
Borussia Dortmund,Patrik Berger,22,Attacking Midfield,Liverpool,£3.15m,out,3.15,1 Bundesliga,1996,1996/1997
Borussia Dortmund,Bodo Schmidt,28,Centre-Back,1. FC Köln,£360k,out,0.36,1 Bundesliga,1996,1996/1997
