club_name,player_name,age,position,club_involved_name,fee,transfer_movement,fee_cleaned,league_name,year,season
FC Barcelona,Marc Overmars,27,Left Winger,Arsenal,£36.00m,in,36,Primera Division,2000,2000/2001
FC Barcelona,Gerard López,21,Central Midfield,Valencia,£19.44m,in,19.44,Primera Division,2000,2000/2001
FC Barcelona,Alfonso,27,Centre-Forward,Real Betis,£14.85m,in,14.85,Primera Division,2000,2000/2001
FC Barcelona,Emmanuel Petit,29,Defensive Midfield,Arsenal,£13.50m,in,13.5,Primera Division,2000,2000/2001
FC Barcelona,Richard Dutruel,27,Goalkeeper,Celta de Vigo,£3.60m,in,3.6,Primera Division,2000,2000/2001
FC Barcelona,Iván de la Peña,24,Attacking Midfield,Lazio,Loan,in,0,Primera Division,2000,2000/2001
FC Barcelona,Sergio Santamaría,19,Right Winger,FC Barcelona B,-,in,0,Primera Division,2000,2000/2001
FC Barcelona,Mikel Arteta,18,Central Midfield,FC Barcelona B,-,in,0,Primera Division,2000,2000/2001
FC Barcelona,Pepe Reina,17,Goalkeeper,FC Barcelona B,-,in,0,Primera Division,2000,2000/2001
FC Barcelona,Dragan Ciric,25,Attacking Midfield,AEK Athens,"End of loanJun 30, 2000",in,0,Primera Division,2000,2000/2001
FC Barcelona,Samuel Okunowo,21,Right-Back,Benfica,"End of loanJun 30, 2000",in,0,Primera Division,2000,2000/2001
FC Barcelona,Luis García,22,Right Winger,CD Toledo,"End of loanJun 30, 2000",in,0,Primera Division,2000,2000/2001
FC Barcelona,Luís Figo,27,Right Winger,Real Madrid,£54.00m,out,54,Primera Division,2000,2000/2001
FC Barcelona,Frédéric Déhu,27,Centre-Back,Paris SG,£5.40m,out,5.4,Primera Division,2000,2000/2001
FC Barcelona,Ronald de Boer,30,Right Winger,Rangers,£4.95m,out,4.95,Primera Division,2000,2000/2001
FC Barcelona,Francesc Arnau,25,Goalkeeper,Málaga CF,£1.89m,out,1.89,Primera Division,2000,2000/2001
FC Barcelona,Ruud Hesp,34,Goalkeeper,Fortuna Sittard,£1.08m,out,1.08,Primera Division,2000,2000/2001
FC Barcelona,Dragan Ciric,25,Attacking Midfield,Real Valladolid,Free Transfer,out,0,Primera Division,2000,2000/2001
