club_name,player_name,age,position,club_involved_name,fee,transfer_movement,fee_cleaned,league_name,year,season
Arsenal FC,Giovanni van Bronckhorst,26,Left-Back,Rangers,£12.15m,in,12.15,Premier League,2001,2001/2002
Arsenal FC,Richard Wright,23,Goalkeeper,Ipswich,£8.10m,in,8.1,Premier League,2001,2001/2002
Arsenal FC,Edú Gaspar,23,Central Midfield,Corinthians,£7.88m,in,7.88,Premier League,2001,2001/2002
Arsenal FC,Stathis Tavlaridis,21,Centre-Back,Iraklis,£810k,in,0.81,Premier League,2001,2001/2002
Arsenal FC,Júan,19,Attacking Midfield,FC São Paulo B,£315k,in,0.315,Premier League,2001,2001/2002
Arsenal FC,Kolo Touré,20,Centre-Back,ASEC Mimosas,£167k,in,0.167,Premier League,2001,2001/2002
Arsenal FC,Sol Campbell,26,Centre-Back,Spurs,Free Transfer,in,0,Premier League,2001,2001/2002
Arsenal FC,Ólafur Ingi Skúlason,18,Defensive Midfield,Fylkir,Free Transfer,in,0,Premier League,2001,2001/2002
Arsenal FC,Junichi Inamoto,21,Defensive Midfield,Gamba Osaka,Loan,in,0,Premier League,2001,2001/2002
Arsenal FC,Jermaine Pennant,18,Right Winger,Arsenal U18,-,in,0,Premier League,2001,2001/2002
Arsenal FC,Liam Chilvers,20,Centre-Back,Notts County,"End of loanFeb 1, 2002",in,0,Premier League,2001,2001/2002
Arsenal FC,Nicky Nicolau,17,Left Midfield,Arsenal U18,-,in,0,Premier League,2001,2001/2002
Arsenal FC,Jérémie Aliadière,18,Centre-Forward,Arsenal U18,-,in,0,Premier League,2001,2001/2002
Arsenal FC,Alexander Manninger,25,Goalkeeper,Florentia,"End of loanJun 30, 2002",in,0,Premier League,2001,2001/2002
Arsenal FC,Jermaine Pennant,19,Right Winger,Watford,"End of loanFeb 26, 2002",in,0,Premier League,2001,2001/2002
Arsenal FC,Rohan Ricketts,18,Attacking Midfield,Arsenal U18,-,in,0,Premier League,2001,2001/2002
Arsenal FC,Moritz Volz,18,Right-Back,Arsenal U18,-,in,0,Premier League,2001,2001/2002
Arsenal FC,David Grondin,21,Left-Back,Cannes,"End of loanJun 30, 2001",in,0,Premier League,2001,2001/2002
Arsenal FC,Nelson Vivas,31,Right-Back,Inter,£6.30m,out,6.3,Premier League,2001,2001/2002
Arsenal FC,Sylvinho,27,Left-Back,Celta de Vigo,£3.42m,out,3.42,Premier League,2001,2001/2002
Arsenal FC,Stefan Malz,29,Left-Back,1.FC K'lautern,£810k,out,0.81,Premier League,2001,2001/2002
Arsenal FC,Guy Demel,20,Right-Back,Bor. Dortmund,£270k,out,0.27,Premier League,2001,2001/2002
Arsenal FC,Lee Canoville,20,Right-Back,Torquay United,Free Transfer,out,0,Premier League,2001,2001/2002
Arsenal FC,David Grondin,21,Left-Back,KSK Beveren,Loan,out,0,Premier League,2001,2001/2002
Arsenal FC,Jermaine Pennant,18,Right Winger,Watford,Loan,out,0,Premier League,2001,2001/2002
Arsenal FC,Tomas Danilevicius,22,Centre-Forward,KSK Beveren,Loan,out,0,Premier League,2001,2001/2002
Arsenal FC,Liam Chilvers,19,Centre-Back,Notts County,Loan,out,0,Premier League,2001,2001/2002
Arsenal FC,Alberto Méndez,27,Attacking Midfield,Racing Ferrol,Free Transfer,out,0,Premier League,2001,2001/2002
Arsenal FC,Graham Barrett,19,Centre-Forward,Colchester Utd.,Loan,out,0,Premier League,2001,2001/2002
Arsenal FC,Graham Barrett,19,Centre-Forward,Crewe Alexandra,Loan,out,0,Premier League,2001,2001/2002
Arsenal FC,Alexander Manninger,24,Goalkeeper,Florentia,Loan,out,0,Premier League,2001,2001/2002
Arsenal FC,John Lukic,40,Goalkeeper,Retired,-,out,0,Premier League,2001,2001/2002
Leeds United,Robbie Keane,20,Centre-Forward,Inter,£16.20m,in,16.2,Premier League,2001,2001/2002
Leeds United,Robbie Fowler,26,Centre-Forward,Liverpool,£15.12m,in,15.12,Premier League,2001,2001/2002
Leeds United,Seth Johnson,22,Central Midfield,Derby,£10.35m,in,10.35,Premier League,2001,2001/2002
Leeds United,Harpal Singh,20,Left Midfield,Bristol City,"End of loanApr 1, 2002",in,0,Premier League,2001,2001/2002
Leeds United,Caleb Folan,19,Centre-Forward,Rush. & Diamon.,"End of loanNov 1, 2001",in,0,Premier League,2001,2001/2002
Leeds United,Harpal Singh,20,Left Midfield,Bury,"End of loanDec 1, 2001",in,0,Premier League,2001,2001/2002
Leeds United,Frazer Richardson,18,Right-Back,Leeds U18,-,in,0,Premier League,2001,2001/2002
Leeds United,Dejan Milosevic,23,Goalkeeper,Wolves,"End of loanDec 31, 2001",in,0,Premier League,2001,2001/2002
Leeds United,Stephen McPhail,22,Left Midfield,Millwall,"End of loanMay 3, 2002",in,0,Premier League,2001,2001/2002
Leeds United,Caleb Folan,18,Centre-Forward,Leeds U18,-,in,0,Premier League,2001,2001/2002
Leeds United,Caleb Folan,19,Centre-Forward,Hull City,"End of loanDec 31, 2001",in,0,Premier League,2001,2001/2002
Leeds United,Matthew Jones,20,Central Midfield,Leicester,£4.05m,out,4.05,Premier League,2001,2001/2002
Leeds United,Alan Maybury,23,Right-Back,Heart of Midl.,£68k,out,0.068,Premier League,2001,2001/2002
Leeds United,Wesley Boyle,22,Midfielder,Portadown,Free Transfer,out,0,Premier League,2001,2001/2002
Leeds United,Caleb Folan,19,Centre-Forward,Hull City,Loan,out,0,Premier League,2001,2001/2002
Leeds United,Harpal Singh,20,Left Midfield,Bristol City,Loan,out,0,Premier League,2001,2001/2002
Leeds United,Tony Hackworth,21,Midfielder,Notts County,Free Transfer,out,0,Premier League,2001,2001/2002
Leeds United,Harpal Singh,19,Left Midfield,Bury,Loan,out,0,Premier League,2001,2001/2002
Leeds United,Chad Harpur,19,Goalkeeper,Millwall,Free Transfer,out,0,Premier League,2001,2001/2002
Leeds United,Stephen McPhail,22,Left Midfield,Millwall,Loan,out,0,Premier League,2001,2001/2002
Leeds United,Caleb Folan,18,Centre-Forward,Rush. & Diamon.,Loan,out,0,Premier League,2001,2001/2002
Leeds United,Dejan Milosevic,23,Goalkeeper,Wolves,Loan,out,0,Premier League,2001,2001/2002
Leeds United,Gareth Evans,20,Defender,Huddersfield,?,out,NA,Premier League,2001,2001/2002
Leeds United,David Robertson,32,Left-Back,Retired,-,out,0,Premier League,2001,2001/2002
Leeds United,Robbie Keane,20,Centre-Forward,Inter,"End of loanJun 30, 2001",out,0,Premier League,2001,2001/2002
Aston Villa,Bosko Balaban,22,Centre-Forward,Dinamo Zagreb,£7.02m,in,7.02,Premier League,2001,2001/2002
Aston Villa,Peter Crouch,21,Centre-Forward,Portsmouth,£6.75m,in,6.75,Premier League,2001,2001/2002
Aston Villa,Olof Mellberg,23,Centre-Back,Racing,£6.12m,in,6.12,Premier League,2001,2001/2002
Aston Villa,Mustapha Hadji,29,Attacking Midfield,Coventry,£3.60m,in,3.6,Premier League,2001,2001/2002
Aston Villa,Hassan Kachloul,28,Left Midfield,Southampton,Free Transfer,in,0,Premier League,2001,2001/2002
Aston Villa,Wayne Henderson,17,Goalkeeper,Cherry Orchard FC,Free Transfer,in,0,Premier League,2001,2001/2002
Aston Villa,Peter Schmeichel,37,Goalkeeper,Sporting CP,Free Transfer,in,0,Premier League,2001,2001/2002
Aston Villa,David Scullion,17,Right Midfield,Aston Villa U18,-,in,0,Premier League,2001,2001/2002
Aston Villa,Richard Walker,24,Centre-Forward,Wycombe,"End of loanDec 1, 2001",in,0,Premier League,2001,2001/2002
Aston Villa,Jlloyd Samuel,20,Defensive Midfield,Gillingham FC,"End of loanDec 31, 2001",in,0,Premier League,2001,2001/2002
Aston Villa,Stephen Cooke,19,Right Midfield,Bournemouth,"End of loanMay 1, 2002",in,0,Premier League,2001,2001/2002
Aston Villa,Rob Edwards,18,Centre-Back,Aston Villa U18,-,in,0,Premier League,2001,2001/2002
Aston Villa,Neil Tarrant,22,Centre-Forward,Motherwell FC,"End of loanOct 1, 2001",in,0,Premier League,2001,2001/2002
Aston Villa,Thomas Hitzlsperger,19,Central Midfield,Chesterfield FC,"End of loanDec 10, 2001",in,0,Premier League,2001,2001/2002
Aston Villa,Dion Dublin,33,Centre-Forward,Millwall,"End of loanMay 1, 2002",in,0,Premier League,2001,2001/2002
Aston Villa,Gareth Southgate,30,Centre-Back,Middlesbrough,£8.78m,out,8.78,Premier League,2001,2001/2002
Aston Villa,David James,30,Goalkeeper,West Ham,£4.32m,out,4.32,Premier League,2001,2001/2002
Aston Villa,Mark Draper,30,Attacking Midfield,Southampton,£2.03m,out,2.03,Premier League,2001,2001/2002
Aston Villa,Richard Walker,24,Centre-Forward,Blackpool,£68k,out,0.068,Premier League,2001,2001/2002
Aston Villa,Dion Dublin,32,Centre-Forward,Millwall,Loan,out,0,Premier League,2001,2001/2002
Aston Villa,Julian Joachim,26,Right Winger,Coventry,Free Transfer,out,0,Premier League,2001,2001/2002
Aston Villa,Neil Cutler,24,Goalkeeper,Stoke City,Free Transfer,out,0,Premier League,2001,2001/2002
Aston Villa,Jlloyd Samuel,20,Defensive Midfield,Gillingham FC,Loan,out,0,Premier League,2001,2001/2002
Aston Villa,Michael Standing,20,Central Midfield,Bradford,Free Transfer,out,0,Premier League,2001,2001/2002
Aston Villa,Richard Walker,23,Centre-Forward,Wycombe,Loan,out,0,Premier League,2001,2001/2002
Aston Villa,Neil Tarrant,22,Centre-Forward,Ross County,Free Transfer,out,0,Premier League,2001,2001/2002
Aston Villa,Stephen Cooke,19,Right Midfield,Bournemouth,Loan,out,0,Premier League,2001,2001/2002
Aston Villa,Mark DeBolla,18,Forward,Charlton,Free Transfer,out,0,Premier League,2001,2001/2002
Aston Villa,Thomas Hitzlsperger,18,Central Midfield,Chesterfield FC,Loan,out,0,Premier League,2001,2001/2002
Aston Villa,Neil Tarrant,22,Centre-Forward,Motherwell FC,Loan,out,0,Premier League,2001,2001/2002
Aston Villa,Luc Nilis,34,Centre-Forward,Retired,-,out,0,Premier League,2001,2001/2002
Chelsea FC,Frank Lampard,23,Central Midfield,West Ham,£14.40m,in,14.4,Premier League,2001,2001/2002
Chelsea FC,Emmanuel Petit,30,Defensive Midfield,FC Barcelona,£10.35m,in,10.35,Premier League,2001,2001/2002
Chelsea FC,William Gallas,23,Centre-Back,Marseille,£8.37m,in,8.37,Premier League,2001,2001/2002
Chelsea FC,Boudewijn Zenden,24,Left Winger,FC Barcelona,£7.20m,in,7.2,Premier League,2001,2001/2002
Chelsea FC,Mark Bosnich,29,Goalkeeper,Man Utd,Free Transfer,in,0,Premier League,2001,2001/2002
Chelsea FC,Carlton Cole,17,Centre-Forward,Chelsea U18,-,in,0,Premier League,2001,2001/2002
Chelsea FC,Gabriele Ambrosetti,28,Left Midfield,Piacenza,"End of loanDec 31, 2001",in,0,Premier League,2001,2001/2002
Chelsea FC,Rhys Evans,20,Goalkeeper,QPR,"End of loanApr 21, 2002",in,0,Premier League,2001,2001/2002
Chelsea FC,Joel Kitamirike,17,Centre-Back,Chelsea U18,-,in,0,Premier League,2001,2001/2002
Chelsea FC,Sam Parkin,21,Centre-Forward,Northampt. Town,"End of loanApr 1, 2002",in,0,Premier League,2001,2001/2002
Chelsea FC,Leon Knight,19,Centre-Forward,Huddersfield,"End of loanMay 1, 2002",in,0,Premier League,2001,2001/2002
Chelsea FC,Warren Cummings,21,Left-Back,West Brom,"End of loanApr 1, 2002",in,0,Premier League,2001,2001/2002
Chelsea FC,Jon Harley,21,Left-Back,Fulham,£4.73m,out,4.73,Premier League,2001,2001/2002
Chelsea FC,Gustavo Poyet,33,Attacking Midfield,Spurs,£3.06m,out,3.06,Premier League,2001,2001/2002
Chelsea FC,Dennis Wise,34,Defensive Midfield,Leicester,£2.16m,out,2.16,Premier League,2001,2001/2002
Chelsea FC,Frank Leboeuf,33,Centre-Back,Marseille,£1.62m,out,1.62,Premier League,2001,2001/2002
Chelsea FC,Bernard Lambourde,29,Centre-Back,SC Bastia,£333k,out,0.333,Premier League,2001,2001/2002
Chelsea FC,Warren Cummings,20,Left-Back,West Brom,Loan,out,0,Premier League,2001,2001/2002
Chelsea FC,Sam Parkin,20,Centre-Forward,Northampt. Town,Loan,out,0,Premier League,2001,2001/2002
Chelsea FC,Rhys Evans,19,Goalkeeper,QPR,Loan,out,0,Premier League,2001,2001/2002
Chelsea FC,Leon Knight,19,Centre-Forward,Huddersfield,Loan,out,0,Premier League,2001,2001/2002
Chelsea FC,Neil Barrett,19,Right Midfield,Portsmouth,Free Transfer,out,0,Premier League,2001,2001/2002
Chelsea FC,Rati Aleksidze,22,Centre-Forward,Dinamo Tbilisi,?,out,NA,Premier League,2001,2001/2002
Chelsea FC,Jes Högh,35,Centre-Back,Retired,-,out,0,Premier League,2001,2001/2002
Chelsea FC,Roberto Di Matteo,31,Central Midfield,Retired,-,out,0,Premier League,2001,2001/2002
Chelsea FC,Pierre Issa,25,Centre-Back,Marseille,"End of loanJun 1, 2001",out,0,Premier League,2001,2001/2002
Middlesbrough FC,Gareth Southgate,30,Centre-Back,Aston Villa,£8.78m,in,8.78,Premier League,2001,2001/2002
Middlesbrough FC,Szilard Nemeth,23,Second Striker,Inter Bratislava,£6.08m,in,6.08,Premier League,2001,2001/2002
Middlesbrough FC,Jonathan Greening,22,Central Midfield,Man Utd,£2.70m,in,2.7,Premier League,2001,2001/2002
Middlesbrough FC,Mark Wilson,22,Central Midfield,Man Utd,£2.07m,in,2.07,Premier League,2001,2001/2002
Middlesbrough FC,Allan Johnston,27,Right Midfield,Rangers,£810k,in,0.81,Premier League,2001,2001/2002
Middlesbrough FC,Franck Queudrue,23,Left-Back,Lens,Loan,in,0,Premier League,2001,2001/2002
Middlesbrough FC,Mickaël Debève,31,Right Midfield,Lens,Free Transfer,in,0,Premier League,2001,2001/2002
Middlesbrough FC,Benny Carbone,30,Second Striker,Bradford,?,in,NA,Premier League,2001,2001/2002
Middlesbrough FC,Christian Hanson,20,Defender,Torquay United,"End of loanJan 4, 2002",in,0,Premier League,2001,2001/2002
Middlesbrough FC,Mark Summerbell,24,Midfielder,Bristol City,"End of loanOct 1, 2001",in,0,Premier League,2001,2001/2002
