club_name,player_name,age,position,club_involved_name,fee,transfer_movement,fee_cleaned,league_name,year,season
PSV Eindhoven,Jordi Hoogstrate,20,Central Midfield,FC Groningen,£2.88m,in,2.88,Eredivisie,2003,2003/2004
PSV Eindhoven,Johan Vonlanthen,17,Left Midfield,BSC Young Boys,£720k,in,0.72,Eredivisie,2003,2003/2004
PSV Eindhoven,Michael Jakobsen,17,Centre-Back,B93,Free Transfer,in,0,Eredivisie,2003,2003/2004
PSV Eindhoven,Rob van Dijk,34,Goalkeeper,RKC Waalwijk,?,in,NA,Eredivisie,2003,2003/2004
PSV Eindhoven,Daniel Guijo-Velasco,19,Attacking Midfield,PSV U19,-,in,0,Eredivisie,2003,2003/2004
PSV Eindhoven,Spase Dilevski,18,Defensive Midfield,PSV U19,-,in,0,Eredivisie,2003,2003/2004
PSV Eindhoven,Ibrahim Afellay,17,Left Midfield,PSV U19,-,in,0,Eredivisie,2003,2003/2004
PSV Eindhoven,Otman Bakkal,18,Attacking Midfield,PSV U19,-,in,0,Eredivisie,2003,2003/2004
PSV Eindhoven,Eric Addo,25,Centre-Back,Roda JC,"End of loanDec 31, 2003",in,0,Eredivisie,2003,2003/2004
PSV Eindhoven,Klaas-Jan Huntelaar,19,Centre-Forward,De Graafschap,"End of loanJun 30, 2003",in,0,Eredivisie,2003,2003/2004
PSV Eindhoven,Léon Hese,22,Centre-Back,FC Eindhoven,"End of loanJun 30, 2003",in,0,Eredivisie,2003,2003/2004
PSV Eindhoven,Gino Coutinho,20,Goalkeeper,FC Den Bosch,"End of loanJun 30, 2003",in,0,Eredivisie,2003,2003/2004
PSV Eindhoven,Nyron Wau,20,Right Winger,MVV Maastricht,"End of loanJun 30, 2003",in,0,Eredivisie,2003,2003/2004
PSV Eindhoven,Jürgen Colin,22,Centre-Back,NAC Breda,"End of loanJun 30, 2003",in,0,Eredivisie,2003,2003/2004
PSV Eindhoven,John de Jong,26,Attacking Midfield,Heerenveen,"End of loanJun 30, 2003",in,0,Eredivisie,2003,2003/2004
PSV Eindhoven,Jelle ten Rouwelaar,22,Goalkeeper,FC Groningen,"End of loanJun 30, 2003",in,0,Eredivisie,2003,2003/2004
PSV Eindhoven,Spase Dilevski,18,Defensive Midfield,RW Essen,Loan,out,0,Eredivisie,2003,2003/2004
PSV Eindhoven,Jelle ten Rouwelaar,22,Goalkeeper,FC Twente,Loan,out,0,Eredivisie,2003,2003/2004
PSV Eindhoven,Klaas-Jan Huntelaar,19,Centre-Forward,AGOVV Apeldoorn,Loan,out,0,Eredivisie,2003,2003/2004
PSV Eindhoven,Jürgen Dirkx,27,Centre-Back,Reusel Sport,Free Transfer,out,0,Eredivisie,2003,2003/2004
PSV Eindhoven,Gino Coutinho,20,Goalkeeper,NAC Breda,Free Transfer,out,0,Eredivisie,2003,2003/2004
PSV Eindhoven,Edno,20,Centre-Forward,Viktoria Plzen,Free Transfer,out,0,Eredivisie,2003,2003/2004
PSV Eindhoven,Arnold Bruggink,25,Attacking Midfield,RCD Mallorca,Free Transfer,out,0,Eredivisie,2003,2003/2004
PSV Eindhoven,Giorgi Gakhokidze,27,Left Winger,FC Twente,Free Transfer,out,0,Eredivisie,2003,2003/2004
PSV Eindhoven,Léon Hese,22,Centre-Back,Helmond Sport,Loan,out,0,Eredivisie,2003,2003/2004
PSV Eindhoven,Nyron Wau,20,Right Winger,Helmond Sport,Loan,out,0,Eredivisie,2003,2003/2004
PSV Eindhoven,Eric Addo,24,Centre-Back,Roda JC,Loan,out,0,Eredivisie,2003,2003/2004
PSV Eindhoven,Lindsay Wilson,24,Left Midfield,FC Volendam,Loan,out,0,Eredivisie,2003,2003/2004
PSV Eindhoven,Robert van Boxel,20,Centre-Back,ADO Den Haag,?,out,NA,Eredivisie,2003,2003/2004
PSV Eindhoven,Michael Lamey,23,Right-Back,FC Utrecht,Loan,out,0,Eredivisie,2003,2003/2004
PSV Eindhoven,Adil Ramzi,25,Left Midfield,FC Twente,Loan,out,0,Eredivisie,2003,2003/2004
PSV Eindhoven,Ernest Faber,32,Centre-Back,Retired,-,out,0,Eredivisie,2003,2003/2004
PSV Eindhoven,Jan Heintze,39,Left-Back,Retired,-,out,0,Eredivisie,2003,2003/2004
PSV Eindhoven,Frank Kooiman,33,Goalkeeper,Sparta R.,"End of loanJun 30, 2003",out,0,Eredivisie,2003,2003/2004
Ajax Amsterdam,Wesley Sonck,24,Centre-Forward,KRC Genk,£5.40m,in,5.4,Eredivisie,2003,2003/2004
Ajax Amsterdam,Zdenek Grygera,23,Right-Back,Sparta Praha,£3.15m,in,3.15,Eredivisie,2003,2003/2004
Ajax Amsterdam,Tom Soetaers,22,Left Winger,Roda JC,£810k,in,0.81,Eredivisie,2003,2003/2004
Ajax Amsterdam,Giannis Anastasiou,30,Centre-Forward,Roda JC,£720k,in,0.72,Eredivisie,2003,2003/2004
Ajax Amsterdam,Nicolae Mitea,18,Left Winger,Dinamo Bukarest,Free Transfer,in,0,Eredivisie,2003,2003/2004
Ajax Amsterdam,Sander Boschker,32,Goalkeeper,FC Twente,Free Transfer,in,0,Eredivisie,2003,2003/2004
Ajax Amsterdam,Julien Escudé,23,Centre-Back,Stade Rennais,Free Transfer,in,0,Eredivisie,2003,2003/2004
Ajax Amsterdam,Thomas Vermaelen,17,Centre-Back,Ajax U19,-,in,0,Eredivisie,2003,2003/2004
Ajax Amsterdam,Daniël de Ridder,19,Left Winger,Ajax U19,-,in,0,Eredivisie,2003,2003/2004
Ajax Amsterdam,Jussi Kujala,20,Defensive Midfield,Ajax U21,-,in,0,Eredivisie,2003,2003/2004
Ajax Amsterdam,Pius Ikedia,22,Right Winger,FC Groningen,"End of loanJun 30, 2003",in,0,Eredivisie,2003,2003/2004
Ajax Amsterdam,Ruud Kras,21,Centre-Back,FC Zwolle,"End of loanJun 30, 2003",in,0,Eredivisie,2003,2003/2004
