club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Ajax Amsterdam,Mauro Rosales,23,Right Midfield,Newell's,£2.25m,in,Summer,2.25,Eredivisie,2004,2004/2005
Ajax Amsterdam,Hans Vonk,34,Goalkeeper,Heerenveen,free transfer,in,Summer,NA,Eredivisie,2004,2004/2005
Ajax Amsterdam,Gastón Sangoy,19,Right Winger,Boca Juniors,loan transfer,in,Summer,NA,Eredivisie,2004,2004/2005
Ajax Amsterdam,Filipe Luís,19,Left-Back,Figueirense FC,loan transfer,in,Summer,NA,Eredivisie,2004,2004/2005
Ajax Amsterdam,Hedwiges Maduro,19,Defensive Midfield,Ajax U19,-,in,Summer,0,Eredivisie,2004,2004/2005
Ajax Amsterdam,Stanley Aborah,17,Central Midfield,Ajax U19,-,in,Summer,0,Eredivisie,2004,2004/2005
Ajax Amsterdam,Ryan Babel,17,Left Winger,Ajax U19,-,in,Summer,0,Eredivisie,2004,2004/2005
Ajax Amsterdam,Tom De Mul,18,Right Midfield,Ajax U19,-,in,Summer,0,Eredivisie,2004,2004/2005
Ajax Amsterdam,Rasmus Lindgren,19,Centre-Back,Ajax U21,-,in,Summer,0,Eredivisie,2004,2004/2005
Ajax Amsterdam,Petri Pasanen,23,Centre-Back,Portsmouth,"End of loanJun 30, 2004",in,Summer,0,Eredivisie,2004,2004/2005
Ajax Amsterdam,Kwame Quansah,21,Defensive Midfield,AIK,"End of loanJun 30, 2004",in,Summer,0,Eredivisie,2004,2004/2005
Ajax Amsterdam,Nourdin Boukhari,24,Attacking Midfield,NAC Breda,"End of loanJun 30, 2004",in,Summer,0,Eredivisie,2004,2004/2005
Ajax Amsterdam,Richard Knopper,26,Attacking Midfield,Heerenveen,"End of loanJun 30, 2004",in,Summer,0,Eredivisie,2004,2004/2005
Ajax Amsterdam,Youssouf Hersi,21,Right Winger,NEC Nijmegen,"End of loanJun 30, 2004",in,Summer,0,Eredivisie,2004,2004/2005
Ajax Amsterdam,Daniel Cruz,23,Attacking Midfield,Germ. Beerschot,"End of loanJun 30, 2004",in,Summer,0,Eredivisie,2004,2004/2005
Ajax Amsterdam,Ruud Kras,22,Centre-Back,FC Volendam,"End of loanJun 30, 2004",in,Summer,0,Eredivisie,2004,2004/2005
Ajax Amsterdam,Stefano Seedorf,22,Central Midfield,NAC Breda,"End of loanJun 30, 2004",in,Summer,0,Eredivisie,2004,2004/2005
Ajax Amsterdam,Zlatan Ibrahimovic,22,Centre-Forward,Juventus,£14.40m,out,Summer,14.4,Eredivisie,2004,2004/2005
Ajax Amsterdam,Jelle Van Damme,20,Centre-Back,Southampton,£2.70m,out,Summer,2.7,Eredivisie,2004,2004/2005
Ajax Amsterdam,Petri Pasanen,23,Centre-Back,Werder Bremen,£675Th.,out,Summer,0.675,Eredivisie,2004,2004/2005
Ajax Amsterdam,Kwame Quansah,21,Defensive Midfield,Heracles Almelo,£225Th.,out,Summer,0.225,Eredivisie,2004,2004/2005
Ajax Amsterdam,Jason Culina,23,Central Midfield,Twente FC,free transfer,out,Summer,NA,Eredivisie,2004,2004/2005
Ajax Amsterdam,Richard Knopper,26,Attacking Midfield,Vitesse,free transfer,out,Summer,NA,Eredivisie,2004,2004/2005
Ajax Amsterdam,Jussi Kujala,21,Defensive Midfield,Tampere United,free transfer,out,Summer,NA,Eredivisie,2004,2004/2005
Ajax Amsterdam,Daniel Cruz,23,Attacking Midfield,Germ. Beerschot,free transfer,out,Summer,NA,Eredivisie,2004,2004/2005
Ajax Amsterdam,Sander Boschker,33,Goalkeeper,Twente FC,free transfer,out,Summer,NA,Eredivisie,2004,2004/2005
Ajax Amsterdam,Stefano Seedorf,22,Central Midfield,FC Groningen,free transfer,out,Summer,NA,Eredivisie,2004,2004/2005
Ajax Amsterdam,Jari Litmanen,33,Attacking Midfield,FC Lahti,free transfer,out,Summer,NA,Eredivisie,2004,2004/2005
Ajax Amsterdam,Thomas Vermaelen,18,Centre-Back,RKC Waalwijk,loan transfer,out,Summer,NA,Eredivisie,2004,2004/2005
Ajax Amsterdam,Youssouf Hersi,21,Right Winger,Heerenveen,?,out,Summer,NA,Eredivisie,2004,2004/2005
Ajax Amsterdam,Victor Sikora,26,Right Winger,Heerenveen,loan transfer,out,Summer,NA,Eredivisie,2004,2004/2005
Ajax Amsterdam,Abubakari Yakubu,22,Defensive Midfield,Vitesse,loan transfer,out,Summer,NA,Eredivisie,2004,2004/2005
Ajax Amsterdam,John Nieuwenburg,25,Defensive Midfield,Without Club,-,out,Summer,0,Eredivisie,2004,2004/2005
PSV Eindhoven,Jefferson Farfán,19,Centre-Forward,Alianza Lima,£3.15m,in,Summer,3.15,Eredivisie,2004,2004/2005
PSV Eindhoven,DaMarcus Beasley,22,Left-Back,Chicago,£1.80m,in,Summer,1.8,Eredivisie,2004,2004/2005
PSV Eindhoven,Heurelho Gomes,23,Goalkeeper,Cruzeiro,£900Th.,in,Summer,0.9,Eredivisie,2004,2004/2005
PSV Eindhoven,Csaba Fehér,28,Defensive Midfield,NAC Breda,£689Th.,in,Summer,0.689,Eredivisie,2004,2004/2005
PSV Eindhoven,Gerald Sibon,30,Centre-Forward,Heerenveen,£675Th.,in,Summer,0.675,Eredivisie,2004,2004/2005
PSV Eindhoven,Phillip Cocu,33,Defensive Midfield,Barcelona,free transfer,in,Summer,NA,Eredivisie,2004,2004/2005
PSV Eindhoven,Edwin Zoetebier,34,Goalkeeper,Feyenoord,free transfer,in,Summer,NA,Eredivisie,2004,2004/2005
PSV Eindhoven,Nathan Coe,20,Goalkeeper,Inter U19,free transfer,in,Summer,NA,Eredivisie,2004,2004/2005
PSV Eindhoven,Arvid Smit,23,Central Midfield,FC Groningen,free transfer,in,Summer,NA,Eredivisie,2004,2004/2005
PSV Eindhoven,Lasse Qvist,17,Centre-Forward,Lyngby BK,?,in,Summer,NA,Eredivisie,2004,2004/2005
PSV Eindhoven,Alex,22,Centre-Back,Chelsea,loan transfer,in,Summer,NA,Eredivisie,2004,2004/2005
PSV Eindhoven,Osmar Ferreyra,21,Attacking Midfield,CSKA Moscow,loan transfer,in,Summer,NA,Eredivisie,2004,2004/2005
PSV Eindhoven,Tim Janssen,18,Centre-Forward,PSV U19,-,in,Summer,0,Eredivisie,2004,2004/2005
PSV Eindhoven,Klaas-Jan Huntelaar,20,Centre-Forward,AGOVV,"End of loanJun 30, 2004",in,Summer,0,Eredivisie,2004,2004/2005
PSV Eindhoven,Jelle ten Rouwelaar,23,Goalkeeper,Twente FC,"End of loanJun 30, 2004",in,Summer,0,Eredivisie,2004,2004/2005
PSV Eindhoven,Lindsay Wilson,25,Left Midfield,FC Volendam,"End of loanJun 30, 2004",in,Summer,0,Eredivisie,2004,2004/2005
PSV Eindhoven,Spase Dilevski,19,Defensive Midfield,RW Essen,"End of loanJun 30, 2004",in,Summer,0,Eredivisie,2004,2004/2005
