club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Olympique Lyon,Éric Abidal,24,Left-Back,LOSC Lille,£7.65m,in,Summer,7.65,Ligue 1,2004,2004/2005
Olympique Lyon,Pierre-Alain Frau,24,Centre-Forward,FC Sochaux,£7.65m,in,Summer,7.65,Ligue 1,2004,2004/2005
Olympique Lyon,Nilmar,20,Centre-Forward,Internacional,£5.18m,in,Summer,5.18,Ligue 1,2004,2004/2005
Olympique Lyon,Cris,27,Centre-Back,Cruzeiro,£3.15m,in,Summer,3.15,Ligue 1,2004,2004/2005
Olympique Lyon,Joan Hartock,17,Goalkeeper,US Robert,free transfer,in,Summer,NA,Ligue 1,2004,2004/2005
Olympique Lyon,Lamine Diatta,28,Centre-Back,Stade Rennais,free transfer,in,Summer,NA,Ligue 1,2004,2004/2005
Olympique Lyon,Sylvain Wiltord,30,Second Striker,Arsenal,free transfer,in,Summer,NA,Ligue 1,2004,2004/2005
Olympique Lyon,François Clerc,21,Right-Back,Olymp. Lyon B,-,in,Summer,0,Ligue 1,2004,2004/2005
Olympique Lyon,Sylvain Idangar,20,Left Winger,Olymp. Lyon B,-,in,Summer,0,Ligue 1,2004,2004/2005
Olympique Lyon,Yacine Hima,20,Central Midfield,Olymp. Lyon B,-,in,Summer,0,Ligue 1,2004,2004/2005
Olympique Lyon,Hatem Ben Arfa,17,Attacking Midfield,Olymp. Lyon B,-,in,Summer,0,Ligue 1,2004,2004/2005
Olympique Lyon,Kelly Youga,18,Left-Back,Olymp. Lyon B,-,in,Summer,0,Ligue 1,2004,2004/2005
Olympique Lyon,Daniel Jaccard,19,Goalkeeper,Olymp. Lyon B,-,in,Summer,0,Ligue 1,2004,2004/2005
Olympique Lyon,Florent Balmont,24,Central Midfield,Toulouse,"End of loanJun 30, 2004",in,Summer,0,Ligue 1,2004,2004/2005
Olympique Lyon,Alexandre Hauw,22,Left Midfield,FC Rouen 1899,"End of loanJun 30, 2004",in,Summer,0,Ligue 1,2004,2004/2005
Olympique Lyon,Péguy Luyindula,25,Centre-Forward,Marseille,£9.00m,out,Summer,9,Ligue 1,2004,2004/2005
Olympique Lyon,Edmílson,27,Defensive Midfield,Barcelona,£7.20m,out,Summer,7.2,Ligue 1,2004,2004/2005
Olympique Lyon,Éric Carrière,31,Attacking Midfield,Lens,£2.70m,out,Summer,2.7,Ligue 1,2004,2004/2005
