club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Manchester United,Dimitar Berbatov,27,Centre-Forward,Spurs,£34.20m,in,Summer,34.2,Premier League,2008,2008/2009
Manchester United,Darron Gibson,20,Central Midfield,Man Utd Res.,-,in,Summer,0,Premier League,2008,2008/2009
Manchester United,Tom Cleverley,18,Central Midfield,Man Utd U18,-,in,Summer,0,Premier League,2008,2008/2009
Manchester United,Danny Drinkwater,18,Central Midfield,Man Utd U18,-,in,Summer,0,Premier League,2008,2008/2009
Manchester United,Ben Amos,18,Goalkeeper,Man Utd U18,-,in,Summer,0,Premier League,2008,2008/2009
Manchester United,James Chester,19,Centre-Back,Man Utd U18,-,in,Summer,0,Premier League,2008,2008/2009
Manchester United,Danny Welbeck,17,Centre-Forward,Man Utd U18,-,in,Summer,0,Premier League,2008,2008/2009
Manchester United,Fábio,17,Right-Back,Man Utd U18,-,in,Summer,0,Premier League,2008,2008/2009
Manchester United,Manucho,25,Centre-Forward,Panathinaikos,"End of loanJun 30, 2008",in,Summer,0,Premier League,2008,2008/2009
Manchester United,Danny Simpson,22,Right-Back,Blackburn,"End of loanMay 8, 2009",in,Summer,0,Premier League,2008,2008/2009
Manchester United,Manucho,26,Centre-Forward,Hull City,"End of loanMay 1, 2009",in,Summer,0,Premier League,2008,2008/2009
Manchester United,Sam Hewson,20,Central Midfield,Hereford Utd.,"End of loanMay 1, 2009",in,Summer,0,Premier League,2008,2008/2009
Manchester United,David Gray,20,Right-Back,Plymouth,"End of loanMay 1, 2009",in,Summer,0,Premier League,2008,2008/2009
Manchester United,Tom Heaton,23,Goalkeeper,Cardiff,"End of loanMay 31, 2009",in,Summer,0,Premier League,2008,2008/2009
Manchester United,Tom Cleverley,19,Central Midfield,Leicester,"End of loanMay 25, 2009",in,Summer,0,Premier League,2008,2008/2009
Manchester United,Gerard Piqué,21,Centre-Back,Barcelona,£4.50m,out,Summer,4.5,Premier League,2008,2008/2009
Manchester United,Chris Eagles,22,Right Winger,Burnley,£1.35m,out,Summer,1.35,Premier League,2008,2008/2009
Manchester United,Mikaël Silvestre,31,Centre-Back,Arsenal,£855Th.,out,Summer,0.855,Premier League,2008,2008/2009
Manchester United,Michael Lea,20,Left-Back,Scunthorpe Utd.,free transfer,out,Summer,NA,Premier League,2008,2008/2009
Manchester United,Michael Barnes,20,Left Midfield,Northwich Vic,free transfer,out,Summer,NA,Premier League,2008,2008/2009
Manchester United,Fangzhuo Dong,23,Centre-Forward,DL Shide,free transfer,out,Summer,NA,Premier League,2008,2008/2009
Manchester United,Louis Saha,30,Centre-Forward,Everton,free transfer,out,Summer,NA,Premier League,2008,2008/2009
Manchester United,Ritchie Jones,21,Central Midfield,Hartlepool,free transfer,out,Summer,NA,Premier League,2008,2008/2009
Manchester United,Tom Heaton,22,Goalkeeper,Cardiff,loan transfer,out,Summer,NA,Premier League,2008,2008/2009
Manchester United,Danny Simpson,21,Right-Back,Blackburn,loan transfer,out,Summer,NA,Premier League,2008,2008/2009
Manchester United,Lee Martin,21,Attacking Midfield,Nottm Forest,loan transfer,out,Summer,NA,Premier League,2008,2008/2009
Manchester United,Fraizer Campbell,20,Centre-Forward,Spurs,loan transfer,out,Summer,NA,Premier League,2008,2008/2009
Manchester United,Carlos Tevez,25,Second Striker,West Ham,"End of loanJun 30, 2009",out,Summer,0,Premier League,2008,2008/2009
Chelsea FC,Bosingwa,25,Right-Back,FC Porto,£18.45m,in,Summer,18.45,Premier League,2008,2008/2009
Chelsea FC,Deco,30,Attacking Midfield,Barcelona,£9.00m,in,Summer,9,Premier League,2008,2008/2009
