club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
FC Porto,Jackson Martínez,25,Centre-Forward,Jaguares,£8.00m,in,Summer,8,Liga Nos,2012,2012/2013
FC Porto,Héctor Quiñónes,20,Left-Back,Junior FC,£1.78m,in,Summer,1.78,Liga Nos,2012,2012/2013
FC Porto,Fabiano,24,Goalkeeper,Olhanense,£1.08m,in,Summer,1.08,Liga Nos,2012,2012/2013
FC Porto,Henrique Sereno,27,Centre-Back,1. FC Köln,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
FC Porto,André Castro,24,Central Midfield,Sporting Gijón,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
FC Porto,Ukra,24,Right Winger,SC Braga,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
FC Porto,Abdoulaye Ba,21,Centre-Back,Coimbra,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
FC Porto,Hugo Ventura,24,Goalkeeper,Olhanense,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
FC Porto,André Pinto,22,Centre-Back,Olhanense,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
FC Porto,Kelvin,19,Right Winger,Rio Ave FC,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
FC Porto,Christian Atsu,20,Left Winger,Rio Ave FC,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
FC Porto,David Bruno,20,Right-Back,Trofense,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
FC Porto,Fredy Guarín,26,Central Midfield,Inter,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
FC Porto,Pawel Kieszek,28,Goalkeeper,Roda JC,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
FC Porto,David Addy,22,Left-Back,Panetolikos,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
FC Porto,Beto,30,Goalkeeper,CFR Cluj,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
FC Porto,Miguel Lopes,25,Right-Back,SC Braga,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
FC Porto,Walter,22,Centre-Forward,Cruzeiro,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
FC Porto,William Soares,23,Defensive Midfield,Arouca,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
FC Porto,Fernando Belluschi,28,Central Midfield,Genoa,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
FC Porto,Hulk,26,Centre-Forward,Zenit S-Pb,£36.00m,out,Summer,36,Liga Nos,2012,2012/2013
FC Porto,Fredy Guarín,26,Central Midfield,Inter,£9.90m,out,Summer,9.9,Liga Nos,2012,2012/2013
