club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Zenit St. Petersburg,Hulk,26,Centre-Forward,FC Porto,£36.00m,in,Summer,36,Premier Liga,2012,2012/2013
Zenit St. Petersburg,Axel Witsel,23,Defensive Midfield,Benfica,£36.00m,in,Summer,36,Premier Liga,2012,2012/2013
Zenit St. Petersburg,Renat Yanbaev,28,Left-Back,Loko Moscow,loan transfer,in,Summer,NA,Premier Liga,2012,2012/2013
Zenit St. Petersburg,Luka Djordjevic,17,Centre-Forward,Mogren,?,in,Summer,NA,Premier Liga,2012,2012/2013
Zenit St. Petersburg,Michael Lumb,24,Left-Back,SC Freiburg,"End of loanJun 30, 2012",in,Summer,0,Premier Liga,2012,2012/2013
Zenit St. Petersburg,Szabolcs Huszti,29,Left Midfield,Hannover 96,£675Th.,out,Summer,0.675,Premier Liga,2012,2012/2013
Zenit St. Petersburg,Alessandro Rosina,28,Right Winger,Siena,free transfer,out,Summer,NA,Premier Liga,2012,2012/2013
CSKA Moscow,Mário Fernandes,21,Right-Back,Grêmio,£9.45m,in,Summer,9.45,Premier Liga,2012,2012/2013
CSKA Moscow,Rasmus Elm,24,Central Midfield,AZ Alkmaar,£5.40m,in,Summer,5.4,Premier Liga,2012,2012/2013
CSKA Moscow,Anton Zabolotnyi,21,Centre-Forward,CSKA Moscow II,-,in,Summer,0,Premier Liga,2012,2012/2013
CSKA Moscow,Moussa Maazou,23,Centre-Forward,Le Mans FC,"End of loanJun 30, 2012",in,Summer,0,Premier Liga,2012,2012/2013
CSKA Moscow,Ricardo Jesus,27,Centre-Forward,Portuguesa,"End of loanAug 27, 2012",in,Summer,0,Premier Liga,2012,2012/2013
CSKA Moscow,Ricardo Jesus,27,Centre-Forward,Avaí FC,loan transfer,out,Summer,NA,Premier Liga,2012,2012/2013
CSKA Moscow,Moussa Maazou,23,Centre-Forward,ES Sahel,?,out,Summer,NA,Premier Liga,2012,2012/2013
