club_name,player_name,age,position,club_involved_name,fee,transfer_movement,fee_cleaned,league_name,year,season
Juventus FC,Paulo Dybala,21,Second Striker,US Palermo,£36.00m,in,36,Serie A,2015,2015/2016
Juventus FC,Alex Sandro,24,Left-Back,FC Porto,£23.40m,in,23.4,Serie A,2015,2015/2016
Juventus FC,Mario Mandzukic,29,Centre-Forward,Atlético Madrid,£18.90m,in,18.9,Serie A,2015,2015/2016
Juventus FC,Simone Zaza,24,Centre-Forward,Sassuolo,£16.20m,in,16.2,Serie A,2015,2015/2016
Juventus FC,Roberto Pereyra,24,Left Midfield,Udinese Calcio,£13.50m,in,13.5,Serie A,2015,2015/2016
Juventus FC,Hernanes,30,Attacking Midfield,Inter,£11.70m,in,11.7,Serie A,2015,2015/2016
Juventus FC,Rolando Mandragora,18,Central Midfield,Genoa,£8.10m,in,8.1,Serie A,2015,2015/2016
Juventus FC,Eric Lanini,21,Centre-Forward,US Palermo,£1.80m,in,1.8,Serie A,2015,2015/2016
Juventus FC,Juan Cuadrado,27,Right Winger,Chelsea,Loan fee:£1.62m,in,1.62,Serie A,2015,2015/2016
Juventus FC,Alberto Brignoli,23,Goalkeeper,Ternana,£1.58m,in,1.58,Serie A,2015,2015/2016
Juventus FC,Mame Thiam,22,Centre-Forward,Virtus Lanciano,£1.26m,in,1.26,Serie A,2015,2015/2016
Juventus FC,Andrés Tello,18,Central Midfield,Envigado,£1.26m,in,1.26,Serie A,2015,2015/2016
Juventus FC,Joyce Anacoura,20,Goalkeeper,Parma,£675k,in,0.675,Serie A,2015,2015/2016
Juventus FC,Mario Lemina,21,Defensive Midfield,Marseille,Loan fee:£450k,in,0.45,Serie A,2015,2015/2016
Juventus FC,Gregorio Luperini,21,Central Midfield,Pontedera,£89k,in,0.089,Serie A,2015,2015/2016
Juventus FC,Neto,25,Goalkeeper,Fiorentina,Free Transfer,in,0,Serie A,2015,2015/2016
Juventus FC,Alberto Cerri,19,Centre-Forward,Parma,Free Transfer,in,0,Serie A,2015,2015/2016
Juventus FC,Sami Khedira,28,Central Midfield,Real Madrid,Free Transfer,in,0,Serie A,2015,2015/2016
Juventus FC,Stefano Beltrame,22,Attacking Midfield,Sampdoria,?,in,NA,Serie A,2015,2015/2016
Juventus FC,Eric Lanini,21,Centre-Forward,Virtus Lanciano,"End of loanJan 27, 2016",in,0,Serie A,2015,2015/2016
Juventus FC,Emil Audero,18,Goalkeeper,Juventus U19,-,in,0,Serie A,2015,2015/2016
Juventus FC,Vajebah Sakor,19,Defensive Midfield,Juventus U19,-,in,0,Serie A,2015,2015/2016
Juventus FC,Stefano Beltrame,22,Attacking Midfield,Pro Vercelli,"End of loanJan 31, 2016",in,0,Serie A,2015,2015/2016
