club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Atalanta BC,Marten de Roon,26,Defensive Midfield,Middlesbrough,£15.03m,in,Summer,15.03,Serie A,2017,2017/2018
Atalanta BC,Timothy Castagne,21,Right-Back,KRC Genk,£5.85m,in,Summer,5.85,Serie A,2017,2017/2018
Atalanta BC,Josip Ilicic,29,Second Striker,Fiorentina,£5.76m,in,Summer,5.76,Serie A,2017,2017/2018
Atalanta BC,Andreas Cornelius,24,Centre-Forward,FC Copenhagen,£5.40m,in,Summer,5.4,Serie A,2017,2017/2018
Atalanta BC,Fabio Eguelfi,22,Left-Back,Inter,£5.40m,in,Summer,5.4,Serie A,2017,2017/2018
Atalanta BC,Etrit Berisha,28,Goalkeeper,Lazio,£5.15m,in,Summer,5.15,Serie A,2017,2017/2018
Atalanta BC,José Luis Palomino,27,Centre-Back,Ludogorets,£4.23m,in,Summer,4.23,Serie A,2017,2017/2018
Atalanta BC,Matteo Pessina,20,Attacking Midfield,AC Milan,£1.60m,in,Summer,1.6,Serie A,2017,2017/2018
Atalanta BC,Luca Vido,20,Centre-Forward,AC Milan,£1.26m,in,Summer,1.26,Serie A,2017,2017/2018
Atalanta BC,Robin Gosens,22,Left Midfield,Heracles Almelo,£1.05m,in,Summer,1.05,Serie A,2017,2017/2018
Atalanta BC,Nicolas Haas,21,Central Midfield,FC Luzern,free transfer,in,Summer,NA,Serie A,2017,2017/2018
Atalanta BC,João Schmidt,24,Defensive Midfield,São Paulo,free transfer,in,Summer,NA,Serie A,2017,2017/2018
Atalanta BC,Alessandro Bastoni,18,Centre-Back,Inter,loan transfer,in,Summer,NA,Serie A,2017,2017/2018
Atalanta BC,Riccardo Orsolini,20,Right Winger,Juventus,loan transfer,in,Summer,NA,Serie A,2017,2017/2018
Atalanta BC,Filippo Melegoni,18,Central Midfield,Atalanta U19,-,in,Summer,0,Serie A,2017,2017/2018
Atalanta BC,Alessandro Bastoni,18,Centre-Back,Inter,£27.99m,out,Summer,27.99,Serie A,2017,2017/2018
Atalanta BC,Andrea Conti,23,Right-Back,AC Milan,£21.60m,out,Summer,21.6,Serie A,2017,2017/2018
Atalanta BC,Roberto Gagliardini,23,Central Midfield,Inter,£18.45m,out,Summer,18.45,Serie A,2017,2017/2018
Atalanta BC,Franck Kessié,20,Central Midfield,AC Milan,Loan fee:£7.20m,out,Summer,7.2,Serie A,2017,2017/2018
Atalanta BC,Alberto Paloschi,27,Centre-Forward,SPAL,Loan fee:£1.80m,out,Summer,1.8,Serie A,2017,2017/2018
Atalanta BC,Giuseppe De Luca,25,Centre-Forward,Virtus Entella,Loan fee:£124Th.,out,Summer,0.124,Serie A,2017,2017/2018
Atalanta BC,Prince Gouano,23,Centre-Back,Amiens SC,£117Th.,out,Summer,0.117,Serie A,2017,2017/2018
Atalanta BC,Bryan Cabezas,20,Left Winger,Panathinaikos,Loan fee:£108Th.,out,Summer,0.108,Serie A,2017,2017/2018
Atalanta BC,Fabio Castellano,19,Central Midfield,Ascoli,£45Th.,out,Summer,0.045,Serie A,2017,2017/2018
Atalanta BC,Leonardo Gatto,25,Left Winger,Salernitana,free transfer,out,Summer,NA,Serie A,2017,2017/2018
Atalanta BC,Matteo Contini,37,Centre-Back,Carrarese,free transfer,out,Summer,NA,Serie A,2017,2017/2018
Atalanta BC,Demba Pape,19,Central Midfield,Atl.Aradeo,free transfer,out,Summer,NA,Serie A,2017,2017/2018
Atalanta BC,Cristiano Del Grosso,34,Left-Back,Venezia,free transfer,out,Summer,NA,Serie A,2017,2017/2018
Atalanta BC,Edoardo Ceria,22,Right Winger,FC Den Bosch,free transfer,out,Summer,NA,Serie A,2017,2017/2018
Atalanta BC,Nadir Minotti,25,Defensive Midfield,Valcalepio,free transfer,out,Summer,NA,Serie A,2017,2017/2018
Atalanta BC,Denis Di Rocco,20,Right Winger,Pineto,free transfer,out,Summer,NA,Serie A,2017,2017/2018
Atalanta BC,Anton Kresic,21,Centre-Back,Avellino,loan transfer,out,Summer,NA,Serie A,2017,2017/2018
Atalanta BC,Valerio Nava,23,Left-Back,Stabia,loan transfer,out,Summer,NA,Serie A,2017,2017/2018
Atalanta BC,Stefano Cason,22,Centre-Back,Carrarese,loan transfer,out,Summer,NA,Serie A,2017,2017/2018
Atalanta BC,Nicolò Fazzi,22,Right Midfield,Cesena,loan transfer,out,Summer,NA,Serie A,2017,2017/2018
Atalanta BC,Davide Merelli,21,Goalkeeper,Padova,loan transfer,out,Summer,NA,Serie A,2017,2017/2018
Atalanta BC,Tiziano Tulissi,19,Right Winger,Reggina,loan transfer,out,Summer,NA,Serie A,2017,2017/2018
Atalanta BC,Michele Messina,21,Centre-Back,Pro Piacenza,loan transfer,out,Summer,NA,Serie A,2017,2017/2018
Atalanta BC,Constantin Nica,24,Right-Back,FC Dinamo,loan transfer,out,Summer,NA,Serie A,2017,2017/2018
Atalanta BC,Luca Milesi,24,Centre-Back,Vicenza,loan transfer,out,Summer,NA,Serie A,2017,2017/2018
Atalanta BC,Fabio Eguelfi,22,Left-Back,Cesena,loan transfer,out,Summer,NA,Serie A,2017,2017/2018
Atalanta BC,Giacomo Parigi,21,Centre-Forward,Akragas,loan transfer,out,Summer,NA,Serie A,2017,2017/2018
Atalanta BC,Gaetano Monachello,23,Centre-Forward,US Palermo,loan transfer,out,Summer,NA,Serie A,2017,2017/2018
Atalanta BC,Guido Marilungo,28,Centre-Forward,Spezia Calcio,loan transfer,out,Summer,NA,Serie A,2017,2017/2018
Atalanta BC,Christian Mora,19,Right-Back,Piacenza,loan transfer,out,Summer,NA,Serie A,2017,2017/2018
Atalanta BC,Alex Redolfi,23,Centre-Back,Stabia,loan transfer,out,Summer,NA,Serie A,2017,2017/2018
Atalanta BC,Mario Pugliese,21,Central Midfield,Pro Vercelli,loan transfer,out,Summer,NA,Serie A,2017,2017/2018
Atalanta BC,Stefano Mazzini,18,Goalkeeper,Gavorrano,loan transfer,out,Summer,NA,Serie A,2017,2017/2018
Atalanta BC,Mauricio Pinilla,33,Centre-Forward,Genoa,?,out,Summer,NA,Serie A,2017,2017/2018
Atalanta BC,Giuseppe Ungaro,22,Attacking Midfield,Renate,?,out,Summer,NA,Serie A,2017,2017/2018
Atalanta BC,Luca Valzania,21,Central Midfield,Pescara,loan transfer,out,Summer,NA,Serie A,2017,2017/2018
Atalanta BC,Matteo Pessina,20,Attacking Midfield,Spezia Calcio,loan transfer,out,Summer,NA,Serie A,2017,2017/2018
Atalanta BC,Boris Radunović,21,Goalkeeper,Salernitana,loan transfer,out,Summer,NA,Serie A,2017,2017/2018
Atalanta BC,Patrick Asmah,21,Left-Back,Salernitana,loan transfer,out,Summer,NA,Serie A,2017,2017/2018
Atalanta BC,Roberto Ranieri,20,Central Midfield,Alessandria,loan transfer,out,Summer,NA,Serie A,2017,2017/2018
Atalanta BC,Nicolas La Vigna,20,Defensive Midfield,Pro Piacenza,loan transfer,out,Summer,NA,Serie A,2017,2017/2018
Atalanta BC,Janis Cavagna,22,Defensive Midfield,Pro Piacenza,loan transfer,out,Summer,NA,Serie A,2017,2017/2018
