club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Bayern Munich,Dayot Upamecano,22,Centre-Back,RB Leipzig,£38.25m,in,Summer,38.25,1 Bundesliga,2021,2021/2022
Bayern Munich,Marcel Sabitzer,27,Central Midfield,RB Leipzig,£13.50m,in,Summer,13.5,1 Bundesliga,2021,2021/2022
Bayern Munich,Omar Richards,23,Left-Back,Reading,free transfer,in,Summer,NA,1 Bundesliga,2021,2021/2022
Bayern Munich,Sven Ulreich,33,Goalkeeper,Hamburger SV,free transfer,in,Summer,NA,1 Bundesliga,2021,2021/2022
Bayern Munich,Josip Stanisic,21,Right-Back,FC Bayern II,-,in,Summer,0,1 Bundesliga,2021,2021/2022
Bayern Munich,Joshua Zirkzee,20,Centre-Forward,Parma,"End of loanJun 30, 2021",in,Summer,0,1 Bundesliga,2021,2021/2022
Bayern Munich,Chris Richards,21,Centre-Back,TSG Hoffenheim,"End of loanJun 30, 2021",in,Summer,0,1 Bundesliga,2021,2021/2022
Bayern Munich,Adrian Fein,22,Defensive Midfield,PSV Eindhoven,"End of loanJun 30, 2021",in,Summer,0,1 Bundesliga,2021,2021/2022
Bayern Munich,Michaël Cuisance,22,Central Midfield,Marseille,"End of loanJun 30, 2021",in,Summer,0,1 Bundesliga,2021,2021/2022
Bayern Munich,Christian Früchtl,21,Goalkeeper,1.FC Nuremberg,"End of loanJun 30, 2021",in,Summer,0,1 Bundesliga,2021,2021/2022
Bayern Munich,Lars Lukas Mai,21,Centre-Back,SV Darmstadt 98,"End of loanJun 30, 2021",in,Summer,0,1 Bundesliga,2021,2021/2022
Bayern Munich,David Alaba,29,Centre-Back,Real Madrid,free transfer,out,Summer,NA,1 Bundesliga,2021,2021/2022
Bayern Munich,Javi Martínez,32,Defensive Midfield,Qatar SC,free transfer,out,Summer,NA,1 Bundesliga,2021,2021/2022
Bayern Munich,Ron-Thorben Hoffmann,22,Goalkeeper,Sunderland,loan transfer,out,Summer,NA,1 Bundesliga,2021,2021/2022
Bayern Munich,Chris Richards,21,Centre-Back,TSG Hoffenheim,loan transfer,out,Summer,NA,1 Bundesliga,2021,2021/2022
Bayern Munich,Joshua Zirkzee,20,Centre-Forward,RSC Anderlecht,loan transfer,out,Summer,NA,1 Bundesliga,2021,2021/2022
Bayern Munich,Adrian Fein,22,Defensive Midfield,Greuther Fürth,loan transfer,out,Summer,NA,1 Bundesliga,2021,2021/2022
Bayern Munich,Alexander Nübel,24,Goalkeeper,Monaco,loan transfer,out,Summer,NA,1 Bundesliga,2021,2021/2022
Bayern Munich,Lars Lukas Mai,21,Centre-Back,Werder Bremen,loan transfer,out,Summer,NA,1 Bundesliga,2021,2021/2022
Bayern Munich,Jérôme Boateng,32,Centre-Back,Without Club,-,out,Summer,0,1 Bundesliga,2021,2021/2022
Bayern Munich,Tiago Dantas,20,Central Midfield,Benfica,"End of loanJun 30, 2021",out,Summer,0,1 Bundesliga,2021,2021/2022
RB Leipzig,André Silva,25,Centre-Forward,E. Frankfurt,£20.70m,in,Summer,20.7,1 Bundesliga,2021,2021/2022
RB Leipzig,Josko Gvardiol,19,Centre-Back,Dinamo Zagreb,£16.92m,in,Summer,16.92,1 Bundesliga,2021,2021/2022
RB Leipzig,Angeliño,24,Left-Back,Man City,£16.20m,in,Summer,16.2,1 Bundesliga,2021,2021/2022
RB Leipzig,Ilaix Moriba,18,Central Midfield,Barcelona B,£14.40m,in,Summer,14.4,1 Bundesliga,2021,2021/2022
RB Leipzig,Benjamin Henrichs,24,Right-Back,Monaco,£13.50m,in,Summer,13.5,1 Bundesliga,2021,2021/2022
RB Leipzig,Mohamed Simakan,21,Centre-Back,R. Strasbourg,£13.50m,in,Summer,13.5,1 Bundesliga,2021,2021/2022
RB Leipzig,Caden Clark,18,Attacking Midfield,Red Bulls,£1.64m,in,Summer,1.64,1 Bundesliga,2021,2021/2022
RB Leipzig,Brian Brobbey,19,Centre-Forward,Ajax U21,free transfer,in,Summer,NA,1 Bundesliga,2021,2021/2022
RB Leipzig,Joscha Wosz,19,Attacking Midfield,RB Leipzig U19,-,in,Summer,0,1 Bundesliga,2021,2021/2022
RB Leipzig,Ben Klefisch,18,Central Midfield,RB Leipzig U19,-,in,Summer,0,1 Bundesliga,2021,2021/2022
RB Leipzig,Sidney Raebiger,16,Central Midfield,RB Leipzig U17,-,in,Summer,0,1 Bundesliga,2021,2021/2022
RB Leipzig,Ademola Lookman,23,Left Winger,Fulham,"End of loanJun 30, 2021",in,Summer,0,1 Bundesliga,2021,2021/2022
RB Leipzig,Hannes Wolf,22,Attacking Midfield,Bor. M'gladbach,"End of loanJun 30, 2021",in,Summer,0,1 Bundesliga,2021,2021/2022
RB Leipzig,Marcelo Saracchi,23,Left-Back,Galatasaray,"End of loanJun 30, 2021",in,Summer,0,1 Bundesliga,2021,2021/2022
RB Leipzig,Dayot Upamecano,22,Centre-Back,FC Bayern,£38.25m,out,Summer,38.25,1 Bundesliga,2021,2021/2022
RB Leipzig,Ibrahima Konaté,22,Centre-Back,Liverpool,£36.00m,out,Summer,36,1 Bundesliga,2021,2021/2022
RB Leipzig,Marcel Sabitzer,27,Central Midfield,FC Bayern,£13.50m,out,Summer,13.5,1 Bundesliga,2021,2021/2022
RB Leipzig,Hannes Wolf,22,Attacking Midfield,Bor. M'gladbach,£8.55m,out,Summer,8.55,1 Bundesliga,2021,2021/2022
RB Leipzig,Lazar Samardzic,19,Attacking Midfield,Udinese Calcio,£2.70m,out,Summer,2.7,1 Bundesliga,2021,2021/2022
RB Leipzig,Alexander Sörloth,25,Centre-Forward,Real Sociedad,Loan fee:£1.80m,out,Summer,1.8,1 Bundesliga,2021,2021/2022
RB Leipzig,Ademola Lookman,23,Left Winger,Leicester,loan transfer,out,Summer,NA,1 Bundesliga,2021,2021/2022
RB Leipzig,Hee-chan Hwang,25,Centre-Forward,Wolves,loan transfer,out,Summer,NA,1 Bundesliga,2021,2021/2022
RB Leipzig,Caden Clark,18,Attacking Midfield,Red Bulls,loan transfer,out,Summer,NA,1 Bundesliga,2021,2021/2022
RB Leipzig,Fabrice Hartmann,20,Right Winger,SC Paderborn,loan transfer,out,Summer,NA,1 Bundesliga,2021,2021/2022
RB Leipzig,Justin Kluivert,22,Left Winger,AS Roma,"End of loanJun 30, 2021",out,Summer,0,1 Bundesliga,2021,2021/2022
RB Leipzig,Angeliño,24,Left-Back,Man City,"End of loanJun 30, 2021",out,Summer,0,1 Bundesliga,2021,2021/2022
RB Leipzig,Benjamin Henrichs,24,Right-Back,Monaco,"End of loanJun 30, 2021",out,Summer,0,1 Bundesliga,2021,2021/2022
Borussia Dortmund,Donyell Malen,22,Centre-Forward,PSV Eindhoven,£27.00m,in,Summer,27,1 Bundesliga,2021,2021/2022
