club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Atlético de Madrid,Rodrigo de Paul,27,Central Midfield,Udinese Calcio,£31.50m,in,Summer,31.5,Primera Division,2021,2021/2022
Atlético de Madrid,Matheus Cunha,22,Centre-Forward,Hertha BSC,£27.00m,in,Summer,27,Primera Division,2021,2021/2022
Atlético de Madrid,Marcos Paulo,20,Left Winger,Fluminense,free transfer,in,Summer,NA,Primera Division,2021,2021/2022
Atlético de Madrid,Antoine Griezmann,30,Second Striker,Barcelona,loan transfer,in,Summer,NA,Primera Division,2021,2021/2022
Atlético de Madrid,Benjamin Lecomte,30,Goalkeeper,Monaco,loan transfer,in,Summer,NA,Primera Division,2021,2021/2022
Atlético de Madrid,Nicolás Ibáñez,27,Centre-Forward,San Luis,"End of loanJun 30, 2021",in,Summer,0,Primera Division,2021,2021/2022
Atlético de Madrid,Manu Sánchez,21,Left-Back,CA Osasuna,"End of loanJun 30, 2021",in,Summer,0,Primera Division,2021,2021/2022
Atlético de Madrid,Francisco Montero,22,Centre-Back,Besiktas,"End of loanJun 30, 2021",in,Summer,0,Primera Division,2021,2021/2022
Atlético de Madrid,Santiago Arias,29,Right-Back,Bay. Leverkusen,"End of loanJun 30, 2021",in,Summer,0,Primera Division,2021,2021/2022
Atlético de Madrid,Nehuén Pérez,21,Centre-Back,Granada CF,"End of loanJun 30, 2021",in,Summer,0,Primera Division,2021,2021/2022
Atlético de Madrid,Axel Werner,25,Goalkeeper,San Luis,"End of loanJun 30, 2021",in,Summer,0,Primera Division,2021,2021/2022
Atlético de Madrid,Víctor Mollejo,20,Right Winger,RCD Mallorca,"End of loanAug 30, 2021",in,Summer,0,Primera Division,2021,2021/2022
Atlético de Madrid,Ivan Saponjic,24,Centre-Forward,Cádiz CF,"End of loanJun 30, 2021",in,Summer,0,Primera Division,2021,2021/2022
Atlético de Madrid,Saúl Ñíguez,26,Central Midfield,Chelsea,Loan fee:£4.50m,out,Summer,4.5,Primera Division,2021,2021/2022
Atlético de Madrid,Nicolás Ibáñez,27,Centre-Forward,CF Pachuca,£2.70m,out,Summer,2.7,Primera Division,2021,2021/2022
Atlético de Madrid,Francisco Montero,22,Centre-Back,Besiktas,£675Th.,out,Summer,0.675,Primera Division,2021,2021/2022
Atlético de Madrid,Vitolo,31,Left Winger,Getafe,loan transfer,out,Summer,NA,Primera Division,2021,2021/2022
Atlético de Madrid,Santiago Arias,29,Right-Back,Granada CF,loan transfer,out,Summer,NA,Primera Division,2021,2021/2022
Atlético de Madrid,Nehuén Pérez,21,Centre-Back,Udinese Calcio,loan transfer,out,Summer,NA,Primera Division,2021,2021/2022
Atlético de Madrid,Manu Sánchez,21,Left-Back,CA Osasuna,loan transfer,out,Summer,NA,Primera Division,2021,2021/2022
Atlético de Madrid,Ivo Grbic,25,Goalkeeper,LOSC Lille,loan transfer,out,Summer,NA,Primera Division,2021,2021/2022
Atlético de Madrid,Marcos Paulo,20,Left Winger,Famalicão,loan transfer,out,Summer,NA,Primera Division,2021,2021/2022
