club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Fortuna Sittard,René Hofman,31,Right Winger,Roda JC,?,in,Summer,NA,Eredivisie,1992,1992/1993
Fortuna Sittard,Kenneth Nysaether,22,Centre-Forward,Lillestrøm,?,in,Summer,NA,Eredivisie,1992,1992/1993
Fortuna Sittard,Peter Schmitz,21,attack,Helmond Sport,?,in,Summer,NA,Eredivisie,1992,1992/1993
Fortuna Sittard,Arno van Zwam,22,Goalkeeper,Fortuna U19,-,in,Summer,NA,Eredivisie,1992,1992/1993
Fortuna Sittard,Marco Boogers,25,Centre-Forward,RKC Waalwijk,?,out,Summer,NA,Eredivisie,1992,1992/1993
Fortuna Sittard,Roger Reijners,28,Left Midfield,MVV Maastricht,?,out,Summer,NA,Eredivisie,1992,1992/1993
Fortuna Sittard,Jerry Taihuttu,22,Centre-Forward,Helmond Sport,loan transfer,out,Summer,NA,Eredivisie,1992,1992/1993
Fortuna Sittard,Henk Duut,28,defence,Retired,-,out,Summer,NA,Eredivisie,1992,1992/1993
Dordrecht'90,Arslan Yildiz,17,midfield,Unknown,?,in,Summer,NA,Eredivisie,1992,1992/1993
Dordrecht'90,Robin Schmidt,27,attack,Twente FC,?,in,Summer,NA,Eredivisie,1992,1992/1993
Dordrecht'90,Steve Trittschuh,27,Centre-Back,TB Rowdies,?,in,Summer,NA,Eredivisie,1992,1992/1993
Dordrecht'90,Michel Langerak,23,Attacking Midfield,VVV-Venlo,?,in,Summer,NA,Eredivisie,1992,1992/1993
Dordrecht'90,Hans Kraay Jr.,32,Defensive Midfield,De Graafschap,?,in,Summer,NA,Eredivisie,1992,1992/1993
Dordrecht'90,Dennis van der Gijp,28,attack,Excelsior,"End of loanJun 30, 1992",in,Summer,NA,Eredivisie,1992,1992/1993
Dordrecht'90,Roël Liefden,25,Right-Back,Telstar,"End of loanJun 30, 1992",in,Summer,NA,Eredivisie,1992,1992/1993
Dordrecht'90,Carlo L'Ami,26,Goalkeeper,Heracles,"End of loanJun 30, 1992",in,Summer,NA,Eredivisie,1992,1992/1993
Dordrecht'90,Carlo L'Ami,26,Goalkeeper,Heracles,?,out,Summer,NA,Eredivisie,1992,1992/1993
Dordrecht'90,Johan Molenaar,30,midfield,Middelburg,?,out,Summer,NA,Eredivisie,1992,1992/1993
Dordrecht'90,Theo Speelmeijer,27,Goalkeeper,Kozakken Boys,?,out,Summer,NA,Eredivisie,1992,1992/1993
Dordrecht'90,Ton Rietbroek,25,defence,Telstar,?,out,Summer,NA,Eredivisie,1992,1992/1993
Dordrecht'90,Lloyd Kammeron,20,Centre-Forward,Feyenoord,?,out,Summer,NA,Eredivisie,1992,1992/1993
Dordrecht'90,Wessel Weezenberg,23,midfield,Excelsior,?,out,Summer,NA,Eredivisie,1992,1992/1993
Dordrecht'90,Erik Willaarts,30,Centre-Forward,Go Ahead Eagles,?,out,Summer,NA,Eredivisie,1992,1992/1993
Dordrecht'90,Zier Tebbenhoff,21,attack,FC Den Haag,?,out,Summer,NA,Eredivisie,1992,1992/1993
Dordrecht'90,Errol Refos,22,Centre-Back,Feyenoord,?,out,Summer,NA,Eredivisie,1992,1992/1993
Go Ahead Eagles,Jan Michels,21,Central Midfield,FC Zwolle,free transfer,in,Summer,0,Eredivisie,1992,1992/1993
Go Ahead Eagles,Jason van Blerk,24,Left Midfield,St. George Saints,free transfer,in,Summer,0,Eredivisie,1992,1992/1993
Go Ahead Eagles,Gijs Steinmann,31,defence,Heracles,?,in,Summer,NA,Eredivisie,1992,1992/1993
Go Ahead Eagles,Erik Willaarts,30,Centre-Forward,Dordrecht'90,?,in,Summer,NA,Eredivisie,1992,1992/1993
Go Ahead Eagles,Jacco Beerthuizen,23,Goalkeeper,Heracles,?,in,Summer,NA,Eredivisie,1992,1992/1993
Go Ahead Eagles,Niels Gerestein,20,midfield,VVV-Venlo,,in,Summer,NA,Eredivisie,1992,1992/1993
Go Ahead Eagles,Dwight Lodeweges,34,Sweeper,Retired,-,out,Summer,NA,Eredivisie,1992,1992/1993
FC Volendam,Michael Reiziger,19,Right-Back,Ajax,loan transfer,in,Summer,NA,Eredivisie,1992,1992/1993
FC Volendam,Hans Bond,18,attack,Unknown,?,in,Summer,NA,Eredivisie,1992,1992/1993
FC Volendam,André Wasiman,29,midfield,Eindhoven,?,in,Summer,NA,Eredivisie,1992,1992/1993
FC Volendam,Pascal Jongsma,23,midfield,Unknown,?,in,Summer,NA,Eredivisie,1992,1992/1993
FC Volendam,Robert Molenaar,23,Centre-Back,Volendam U19,-,in,Summer,NA,Eredivisie,1992,1992/1993
FC Volendam,Jeffrey Kooistra,23,midfield,Haarlem,?,out,Summer,NA,Eredivisie,1992,1992/1993
FC Volendam,Achmed Buchaar,22,attack,Unknown,?,out,Summer,NA,Eredivisie,1992,1992/1993
FC Volendam,Elroy Kromheer,22,Sweeper,Motherwell FC,?,out,Summer,NA,Eredivisie,1992,1992/1993
