club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
FC Porto,Rui Jorge,19,Left-Back,Rio Ave FC,?,in,Summer,NA,Liga Nos,1992,1992/1993
FC Porto,Paulinho Santos,21,Defensive Midfield,Rio Ave FC,?,in,Summer,NA,Liga Nos,1992,1992/1993
FC Porto,Antônio Carlos,28,Central Midfield,América,?,in,Summer,NA,Liga Nos,1992,1992/1993
FC Porto,Paulinho McLaren,22,attack,Santos FC,?,in,Summer,NA,Liga Nos,1992,1992/1993
FC Porto,Jorge Costa,20,Centre-Back,Marítimo,"End of loanJun 30, 1992",in,Summer,NA,Liga Nos,1992,1992/1993
FC Porto,Bino,19,Defensive Midfield,Rio Ave FC,"End of loanJun 30, 1992",in,Summer,NA,Liga Nos,1992,1992/1993
FC Porto,Jorge Silva,20,Goalkeeper,Rio Ave FC,"End of loanJun 30, 1992",in,Summer,NA,Liga Nos,1992,1992/1993
FC Porto,António Folha,21,Left Winger,SC Braga,?,out,Summer,NA,Liga Nos,1992,1992/1993
FC Porto,Paulo Pereira,26,Right-Back,Vit. Guimarães,?,out,Summer,NA,Liga Nos,1992,1992/1993
FC Porto,Kiki,30,Attacking Midfield,SC Braga,?,out,Summer,NA,Liga Nos,1992,1992/1993
FC Porto,Jorge Andrade,29,Second Striker,Marítimo,?,out,Summer,NA,Liga Nos,1992,1992/1993
FC Porto,Carlos Padrão,32,Goalkeeper,Paços Ferreira,?,out,Summer,NA,Liga Nos,1992,1992/1993
FC Porto,Petar Mihtarski,25,Centre-Forward,Famalicão,loan transfer,out,Summer,NA,Liga Nos,1992,1992/1993
SL Benfica,João Pinto,20,Second Striker,Boavista,€2.50m,in,Summer,2.5,Liga Nos,1992,1992/1993
SL Benfica,Luis Mariano,23,Central Midfield,Estoril Praia,?,in,Summer,NA,Liga Nos,1992,1992/1993
SL Benfica,Carlos Mozer,31,Centre-Back,Marseille,?,in,Summer,NA,Liga Nos,1992,1992/1993
SL Benfica,Sergey Yuran,23,Centre-Forward,Dynamo Kyiv,?,in,Summer,NA,Liga Nos,1992,1992/1993
SL Benfica,Mário Jorge,22,Central Midfield,Estoril Praia,?,in,Summer,NA,Liga Nos,1992,1992/1993
SL Benfica,Fernando Mendes,25,Left-Back,Boavista,?,in,Summer,NA,Liga Nos,1992,1992/1993
SL Benfica,Hélder Cristóvão,21,Centre-Back,Estoril Praia,?,in,Summer,NA,Liga Nos,1992,1992/1993
SL Benfica,Pedro Roma,21,Goalkeeper,Coimbra,?,in,Summer,NA,Liga Nos,1992,1992/1993
SL Benfica,Kenedy,18,Left-Back,Benfica U19,-,in,Summer,NA,Liga Nos,1992,1992/1993
SL Benfica,Jose Quitongo,17,Right Winger,Benfica U19,-,in,Summer,NA,Liga Nos,1992,1992/1993
SL Benfica,José Dominguez,18,Left Winger,Benfica U19,-,in,Summer,NA,Liga Nos,1992,1992/1993
SL Benfica,Paulo Santos,19,Goalkeeper,Mirense,"End of loanJun 30, 1992",in,Summer,NA,Liga Nos,1992,1992/1993
SL Benfica,Erwin Sánchez,22,Attacking Midfield,Estoril Praia,"End of loanJun 30, 1992",in,Summer,NA,Liga Nos,1992,1992/1993
SL Benfica,Samuel,25,Centre-Back,Boavista,"End of loanJun 30, 1992",in,Summer,NA,Liga Nos,1992,1992/1993
SL Benfica,Abel Silva,22,Right-Back,Marítimo,"End of loanJun 30, 1992",in,Summer,NA,Liga Nos,1992,1992/1993
SL Benfica,João Pires,21,attack,Estoril Praia,?,out,Summer,NA,Liga Nos,1992,1992/1993
SL Benfica,Pedro Valido,22,Centre-Back,Marítimo,?,out,Summer,NA,Liga Nos,1992,1992/1993
SL Benfica,Mats Magnusson,28,Centre-Forward,Helsingborg,?,out,Summer,NA,Liga Nos,1992,1992/1993
SL Benfica,Jonas Thern,25,Central Midfield,Napoli,?,out,Summer,NA,Liga Nos,1992,1992/1993
SL Benfica,Erwin Sánchez,22,Attacking Midfield,Boavista,?,out,Summer,NA,Liga Nos,1992,1992/1993
SL Benfica,Rui Bento,20,Defensive Midfield,Boavista,?,out,Summer,NA,Liga Nos,1992,1992/1993
SL Benfica,Hugo Costa,18,Centre-Back,Gil Vicente,?,out,Summer,NA,Liga Nos,1992,1992/1993
SL Benfica,José Dominguez,18,Left Winger,Sintrense,loan transfer,out,Summer,NA,Liga Nos,1992,1992/1993
SL Benfica,Paulo Santos,19,Goalkeeper,Olivais,loan transfer,out,Summer,NA,Liga Nos,1992,1992/1993
SL Benfica,Manuel Bento,44,Goalkeeper,Retired,-,out,Summer,NA,Liga Nos,1992,1992/1993
Sporting CP,Andrzej Juskowiak,21,Centre-Forward,Lech Poznan,?,in,Summer,NA,Liga Nos,1992,1992/1993
Sporting CP,Carlos Jorge,25,Centre-Back,Marítimo,?,in,Summer,NA,Liga Nos,1992,1992/1993
Sporting CP,Stan Valckx,28,Centre-Back,PSV Eindhoven,?,in,Summer,NA,Liga Nos,1992,1992/1993
Sporting CP,Luís Manuel,21,Defensive Midfield,Ovarense,?,in,Summer,NA,Liga Nos,1992,1992/1993
Sporting CP,Pedro Barny,25,Centre-Back,Boavista,?,in,Summer,NA,Liga Nos,1992,1992/1993
Sporting CP,Bilro,21,Right-Back,Olhanense,?,in,Summer,NA,Liga Nos,1992,1992/1993
Sporting CP,Nuno Capucho,20,Right Winger,Gil Vicente,?,in,Summer,NA,Liga Nos,1992,1992/1993
Sporting CP,Porfírio,18,Centre-Forward,Sporting U19,-,in,Summer,NA,Liga Nos,1992,1992/1993
Sporting CP,Poejo,18,Defensive Midfield,Sporting U19,-,in,Summer,NA,Liga Nos,1992,1992/1993
Sporting CP,Paulo Pilar,20,Central Midfield,Académico Viseu,"End of loanJun 30, 1992",in,Summer,NA,Liga Nos,1992,1992/1993
Sporting CP,Douglas,29,Central Midfield,Cruzeiro,?,out,Summer,NA,Liga Nos,1992,1992/1993
Sporting CP,José Lima,25,Left Winger,Vit. Guimarães,?,out,Summer,NA,Liga Nos,1992,1992/1993
Sporting CP,Pedro Venâncio,28,Centre-Back,Boavista,?,out,Summer,NA,Liga Nos,1992,1992/1993
Sporting CP,João Luís,30,Right-Back,Palmeiras,?,out,Summer,NA,Liga Nos,1992,1992/1993
Sporting CP,João Oliveira Pinto,20,Right Winger,Vit. Guimarães,?,out,Summer,NA,Liga Nos,1992,1992/1993
Sporting CP,Litos,25,Attacking Midfield,Boavista,?,out,Summer,NA,Liga Nos,1992,1992/1993
Sporting CP,Jorginho,30,Centre-Back,Famalicão,?,out,Summer,NA,Liga Nos,1992,1992/1993
Sporting CP,Tozé,23,Centre-Forward,Boavista,?,out,Summer,NA,Liga Nos,1992,1992/1993
Sporting CP,Paulo Santos,26,Goalkeeper,Sanjoanense,?,out,Summer,NA,Liga Nos,1992,1992/1993
Sporting CP,Careca,23,Attacking Midfield,Famalicão,loan transfer,out,Summer,NA,Liga Nos,1992,1992/1993
Sporting CP,Paulo Pilar,20,Central Midfield,Louletano,loan transfer,out,Summer,NA,Liga Nos,1992,1992/1993
Boavista FC,Erwin Sánchez,22,Attacking Midfield,Benfica,?,in,Summer,NA,Liga Nos,1992,1992/1993
Boavista FC,Mateus,26,Attacking Midfield,Ferroviário,?,in,Summer,NA,Liga Nos,1992,1992/1993
Boavista FC,Tozé,23,Centre-Forward,Sporting CP,?,in,Summer,NA,Liga Nos,1992,1992/1993
Boavista FC,Zoran Lemajic,31,Goalkeeper,Farense,?,in,Summer,NA,Liga Nos,1992,1992/1993
Boavista FC,Jaime Alves,27,Right-Back,Vit. Guimarães,?,in,Summer,NA,Liga Nos,1992,1992/1993
Boavista FC,António Caetano,25,Left-Back,Vit. Guimarães,?,in,Summer,NA,Liga Nos,1992,1992/1993
Boavista FC,Pedro Venâncio,28,Centre-Back,Sporting CP,?,in,Summer,NA,Liga Nos,1992,1992/1993
Boavista FC,Artur Oliveira,22,Second Striker,Remo,?,in,Summer,NA,Liga Nos,1992,1992/1993
Boavista FC,Litos,25,Attacking Midfield,Sporting CP,?,in,Summer,NA,Liga Nos,1992,1992/1993
Boavista FC,Jojó,21,Central Midfield,Ferroviário,?,in,Summer,NA,Liga Nos,1992,1992/1993
Boavista FC,Rui Bento,20,Defensive Midfield,Benfica,?,in,Summer,NA,Liga Nos,1992,1992/1993
Boavista FC,Costinha,18,Goalkeeper,Boavista Y19,-,in,Summer,NA,Liga Nos,1992,1992/1993
Boavista FC,Bambo,17,Centre-Forward,Boavista Y19,-,in,Summer,NA,Liga Nos,1992,1992/1993
Boavista FC,João Pinto,20,Second Striker,Benfica,€2.50m,out,Summer,2.5,Liga Nos,1992,1992/1993
Boavista FC,Litos,18,Centre-Back,Campomaiorense,free transfer,out,Summer,0,Liga Nos,1992,1992/1993
Boavista FC,Ivan Pudar,30,Goalkeeper,Eintracht Trier,free transfer,out,Summer,0,Liga Nos,1992,1992/1993
Boavista FC,Eduard Eranosyan,31,attack,Leixões,?,out,Summer,NA,Liga Nos,1992,1992/1993
Boavista FC,Coelho,30,Second Striker,Penafiel,?,out,Summer,NA,Liga Nos,1992,1992/1993
Boavista FC,Cobra,23,midfield,Leixões,?,out,Summer,NA,Liga Nos,1992,1992/1993
Boavista FC,Carlos Manuel,34,Central Midfield,Estoril Praia,?,out,Summer,NA,Liga Nos,1992,1992/1993
Boavista FC,Pedro Barny,25,Centre-Back,Sporting CP,?,out,Summer,NA,Liga Nos,1992,1992/1993
Boavista FC,Fernando Mendes,25,Left-Back,Benfica,?,out,Summer,NA,Liga Nos,1992,1992/1993
