club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
AC Le Havre,Didier Angibeaud,17,Centre-Forward,Unknown,?,in,Summer,NA,Ligue 1,1992,1992/1993
AC Le Havre,Jean-Roch Testa,27,attack,FC Gueugnon,?,in,Summer,NA,Ligue 1,1992,1992/1993
AC Le Havre,Gia Guruli,28,Centre-Forward,GKS Katowice,?,in,Summer,NA,Ligue 1,1992,1992/1993
AC Le Havre,Michel Rio,29,Attacking Midfield,SM Caen,?,in,Summer,NA,Ligue 1,1992,1992/1993
AC Le Havre,Christophe Revault,20,Goalkeeper,Le Havre B,-,in,Summer,NA,Ligue 1,1992,1992/1993
AC Le Havre,Vaclav Danek,31,Centre-Forward,FC Tirol,?,out,Summer,NA,Ligue 1,1992,1992/1993
AC Le Havre,Graham Rix,34,Left Midfield,Dundee FC,?,out,Summer,NA,Ligue 1,1992,1992/1993
AC Le Havre,Patrice Garande,31,Centre-Forward,FC Sochaux,?,out,Summer,NA,Ligue 1,1992,1992/1993
AC Le Havre,Hubert Castets,20,Centre-Back,Le Havre B,-,out,Summer,NA,Ligue 1,1992,1992/1993
Union Sportive Valenciennes-Anzin Arrondissement,Laurent Dufresne,20,Centre-Forward,RUFC Calais,free transfer,in,Summer,0,Ligue 1,1992,1992/1993
Union Sportive Valenciennes-Anzin Arrondissement,Jorge Burruchaga,29,Attacking Midfield,FC Nantes,?,in,Summer,NA,Ligue 1,1992,1992/1993
Union Sportive Valenciennes-Anzin Arrondissement,Arnold Oosterveer,29,Centre-Back,Stade Rennais,?,in,Summer,NA,Ligue 1,1992,1992/1993
Union Sportive Valenciennes-Anzin Arrondissement,Kálmán Kovács,26,Centre-Forward,Honvéd FC,?,in,Summer,NA,Ligue 1,1992,1992/1993
Union Sportive Valenciennes-Anzin Arrondissement,Philippe Gaillot,27,Left-Back,FC Metz,?,in,Summer,NA,Ligue 1,1992,1992/1993
Union Sportive Valenciennes-Anzin Arrondissement,Yves Bouger,22,Left-Back,FC Lorient,?,in,Summer,NA,Ligue 1,1992,1992/1993
Union Sportive Valenciennes-Anzin Arrondissement,Christophe Robert,28,Left Winger,Monaco,?,in,Summer,NA,Ligue 1,1992,1992/1993
Union Sportive Valenciennes-Anzin Arrondissement,Thierry Fernier,27,Attacking Midfield,G. Bordeaux,?,in,Summer,NA,Ligue 1,1992,1992/1993
Union Sportive Valenciennes-Anzin Arrondissement,Dominique Corroyer,27,Centre-Forward,Saint-Étienne,?,in,Summer,NA,Ligue 1,1992,1992/1993
Union Sportive Valenciennes-Anzin Arrondissement,Sylvain Matrisciano,28,Goalkeeper,AS Nancy,?,in,Summer,NA,Ligue 1,1992,1992/1993
Union Sportive Valenciennes-Anzin Arrondissement,Thierry Cygan,17,Centre-Back,VAFC U19,-,in,Summer,NA,Ligue 1,1992,1992/1993
Union Sportive Valenciennes-Anzin Arrondissement,Jean-Jacques Allais,23,attack,USL Dunkerque,?,out,Summer,NA,Ligue 1,1992,1992/1993
Union Sportive Valenciennes-Anzin Arrondissement,Gérard Buscher,32,Centre-Forward,OGC Nice,?,out,Summer,NA,Ligue 1,1992,1992/1993
Union Sportive Valenciennes-Anzin Arrondissement,Alain Garraud,30,Centre-Back,FC Istres,?,out,Summer,NA,Ligue 1,1992,1992/1993
Union Sportive Valenciennes-Anzin Arrondissement,Eugène Ekéké,32,Centre-Forward,Maubeuge,?,out,Summer,NA,Ligue 1,1992,1992/1993
SM Caen,Gabriel Calderón,32,Attacking Midfield,FC Sion,?,in,Summer,NA,Ligue 1,1992,1992/1993
SM Caen,Christophe Duboscq,25,midfield,US Avranches,?,in,Summer,NA,Ligue 1,1992,1992/1993
SM Caen,Stéphane Dedebant,21,Central Midfield,Unknown,?,in,Summer,NA,Ligue 1,1992,1992/1993
