club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Spartak Moscow,Mikhail Rusyaev,27,Centre-Forward,VfB Oldenburg,free transfer,in,Summer,0,Premier Liga,1992,1992/1993
Spartak Moscow,Igor Ledyakhov,24,Central Midfield,Rotor Volgograd,free transfer,in,Summer,0,Premier Liga,1992,1992/1993
Spartak Moscow,Nikolay Pisarev,23,Centre-Forward,FC Winterthur,?,in,Summer,NA,Premier Liga,1992,1992/1993
Spartak Moscow,Andrey Tikhonov,21,Attacking Midfield,Titan Moskau,?,in,Summer,NA,Premier Liga,1992,1992/1993
Spartak Moscow,Gennadiy Perepadenko,28,Right Winger,Tzafririm Holon,"End of loanJun 30, 1992",in,Summer,NA,Premier Liga,1992,1992/1993
Spartak Moscow,Yuri Petrov,18,Centre-Forward,Loko Moscow,"End of loanDec 31, 1992",in,Summer,NA,Premier Liga,1992,1992/1993
Spartak Moscow,Vladimir Baksheev,22,midfield,Tobol Kostanay,"End of loanSep 5, 1992",in,Summer,NA,Premier Liga,1992,1992/1993
Spartak Moscow,Gennadiy Perepadenko,28,Right Winger,Badajoz,free transfer,out,Summer,0,Premier Liga,1992,1992/1993
Spartak Moscow,Oleg Kuzhlev,25,Right Midfield,ES Sahel,?,out,Summer,NA,Premier Liga,1992,1992/1993
Spartak Moscow,Aleksandr Shibaev,30,defence,Din-Gaz Tyumen,?,out,Summer,NA,Premier Liga,1992,1992/1993
Spartak Moscow,Kakhaber Tskhadadze,23,Centre-Back,Dinamo Moscow,?,out,Summer,NA,Premier Liga,1992,1992/1993
Spartak Moscow,Evgeni Bushmanov,20,Centre-Back,CSKA Moscow,?,out,Summer,NA,Premier Liga,1992,1992/1993
Spartak Moscow,Velli Kasumov,23,Centre-Forward,Dinamo Moscow,?,out,Summer,NA,Premier Liga,1992,1992/1993
Spartak Moscow,Rashid Rakhimov,27,Left Midfield,Real Valladolid,?,out,Summer,NA,Premier Liga,1992,1992/1993
Spartak Moscow,Yuri Petrov,18,Centre-Forward,Loko Moscow,?,out,Summer,NA,Premier Liga,1992,1992/1993
Spartak Moscow,Vladimir Baksheev,22,midfield,Tobol Kostanay,loan transfer,out,Summer,NA,Premier Liga,1992,1992/1993
Spartak Moscow,Aleksandr Bondar,25,Defensive Midfield,Terek Grozny,"End of loanMay 1, 1993",out,Summer,NA,Premier Liga,1992,1992/1993
Rotor Volgograd,Yuri Konovalov,22,Centre-Forward,Зенит,free transfer,in,Summer,0,Premier Liga,1992,1992/1993
Rotor Volgograd,Vladimir Niederhaus,24,Centre-Forward,Kairat Almaty,?,in,Summer,NA,Premier Liga,1992,1992/1993
Rotor Volgograd,Aleksandr Eshchenko,22,Left-Back,Dynamo Kyiv,?,in,Summer,NA,Premier Liga,1992,1992/1993
Rotor Volgograd,Sergey Zhunenko,22,Centre-Back,Zorya-Mals,?,in,Summer,NA,Premier Liga,1992,1992/1993
Rotor Volgograd,Aleksey Perminov,24,Left-Back,Uralmash,?,in,Summer,NA,Premier Liga,1992,1992/1993
Rotor Volgograd,Igor Ledyakhov,24,Central Midfield,Spartak Moscow,free transfer,out,Summer,0,Premier Liga,1992,1992/1993
Rotor Volgograd,Sergey Neyman,24,defence,Avangard Kolomna,free transfer,out,Summer,0,Premier Liga,1992,1992/1993
Rotor Volgograd,Sergey Sukhov,26,Centre-Forward,Avangard Kolomna,free transfer,out,Summer,0,Premier Liga,1992,1992/1993
Rotor Volgograd,Andrey Fedorovskiy,28,Centre-Back,KPT-85,?,out,Summer,NA,Premier Liga,1992,1992/1993
Rotor Volgograd,Sergey Vinogradov,20,Centre-Back,Rotor Vg. II,-,out,Summer,NA,Premier Liga,1992,1992/1993
Dinamo Moscow,Sergey Timofeev,27,Left-Back,Nyva Ternopil,free transfer,in,Summer,0,Premier Liga,1992,1992/1993
