club_name,player_name,age,position,club_involved_name,fee,transfer_movement,fee_cleaned,league_name,year,season
Spartak Moscow,Igor Ledyakhov,24,Defensive Midfield,Rotor Volgograd,Free Transfer,in,0,Premier Liga,1992,1992/1993
Spartak Moscow,Mikhail Rusyaev,27,Centre-Forward,VfB Oldenburg,Free Transfer,in,0,Premier Liga,1992,1992/1993
Spartak Moscow,Nikolay Pisarev,23,Centre-Forward,FC Winterthur,?,in,NA,Premier Liga,1992,1992/1993
Spartak Moscow,Andrey Gashkin,22,Right Midfield,Znamya Truda,?,in,NA,Premier Liga,1992,1992/1993
Spartak Moscow,Yuri Nikiforov,22,Sweeper,Chornomorets,?,in,NA,Premier Liga,1992,1992/1993
Spartak Moscow,Aleksandr Bondar,25,Midfielder,Erzu,Loan,in,0,Premier Liga,1992,1992/1993
Spartak Moscow,Fedor Cherenkov,33,Attacking Midfield,Career break,-,in,0,Premier Liga,1992,1992/1993
Spartak Moscow,Sergey Chudin,19,Centre-Back,Spartak II,-,in,0,Premier Liga,1992,1992/1993
Spartak Moscow,Gennadi Perepadenko,28,Right Winger,Tzafririm Holon,"End of loanJun 30, 1992",in,0,Premier Liga,1992,1992/1993
Spartak Moscow,Yuri Petrov,18,Centre-Forward,Loko Moscow,"End of loanDec 31, 1992",in,0,Premier Liga,1992,1992/1993
Spartak Moscow,Mikhail Rusyaev,28,Centre-Forward,Wuppertaler SV,Free Transfer,out,0,Premier Liga,1992,1992/1993
Spartak Moscow,Gennadi Perepadenko,28,Right Winger,CD Badajoz,Free Transfer,out,0,Premier Liga,1992,1992/1993
Spartak Moscow,Kakhaber Tskhadadze,23,Centre-Back,Dinamo Moscow,?,out,NA,Premier Liga,1992,1992/1993
Spartak Moscow,Evgeni Bushmanov,20,Centre-Back,CSKA Moscow,?,out,NA,Premier Liga,1992,1992/1993
Spartak Moscow,Aleksandr Tatarkin,26,Centre-Forward,NK Istra,?,out,NA,Premier Liga,1992,1992/1993
Spartak Moscow,Velli Kasumov,23,Centre-Forward,Dinamo Moscow,?,out,NA,Premier Liga,1992,1992/1993
Spartak Moscow,Yuri Petrov,18,Centre-Forward,Loko Moscow,?,out,NA,Premier Liga,1992,1992/1993
Spartak Moscow,Aleksandr Shibaev,30,Defender,Din-Gaz Tyumen,?,out,NA,Premier Liga,1992,1992/1993
Spartak Moscow,Oleg Ivanov,25,Central Midfield,TPV,?,out,NA,Premier Liga,1992,1992/1993
Spartak Moscow,Rashid Rakhimov,27,Left Midfield,Real Valladolid,?,out,NA,Premier Liga,1992,1992/1993
Spartak Moscow,Oleg Kuzhlev,25,Right Midfield,ES Sahel,?,out,NA,Premier Liga,1992,1992/1993
Spartak Moscow,Aleksandr Bondar,25,Midfielder,Erzu,"End of loanMay 1, 1993",out,0,Premier Liga,1992,1992/1993
Rotor Volgograd,Aleksandr Nikitin,31,Centre-Forward,Unknown,Free Transfer,in,0,Premier Liga,1992,1992/1993
Rotor Volgograd,Sergey Vinogradov,20,Centre-Back,Torpedo Volzhsky,Free Transfer,in,0,Premier Liga,1992,1992/1993
Rotor Volgograd,Valeri Esipov,21,Right Winger,Dynamo Kyiv,?,in,NA,Premier Liga,1992,1992/1993
