club_name,player_name,age,position,club_involved_name,fee,transfer_movement,fee_cleaned,league_name,year,season
Atlético Madrid,Vladan Lukic,22,Centre-Forward,Red Star,?,in,NA,Primera Division,1992,1992/1993
Atlético Madrid,Luis García,23,Forward,UNAM Pumas,?,in,NA,Primera Division,1992,1992/1993
Atlético Madrid,José Luis Villarreal,26,Defensive Midfield,Boca Juniors,?,in,NA,Primera Division,1992,1992/1993
Atlético Madrid,Manolo Alfaro,21,Centre-Forward,Atl. Madrid B,-,in,0,Primera Division,1992,1992/1993
Atlético Madrid,Pizo Gómez,28,Midfielder,Espanyol,"End of loanJun 30, 1992",in,0,Primera Division,1992,1992/1993
Atlético Madrid,Fernando Moner,25,Left-Back,Yokohama Flüg.,?,out,NA,Primera Division,1992,1992/1993
Atlético Madrid,Pizo Gómez,28,Midfielder,Rayo Vallecano,Loan,out,0,Primera Division,1992,1992/1993
Atlético Madrid,Miquel Soler,27,Left-Back,FC Barcelona,?,out,NA,Primera Division,1992,1992/1993
Atlético Madrid,Losada,24,Forward,Sevilla FC,?,out,NA,Primera Division,1992,1992/1993
FC Barcelona,Pablo Alfaro,23,Centre-Back,Real Zaragoza,£1.35m,in,1.35,Primera Division,1992,1992/1993
FC Barcelona,Goran Vucevic,21,Central Midfield,Hajduk Split,£450k,in,0.45,Primera Division,1992,1992/1993
FC Barcelona,Quique Estebaranz,26,Centre-Forward,CD Tenerife,?,in,NA,Primera Division,1992,1992/1993
FC Barcelona,Miquel Soler,27,Left-Back,Atlético Madrid,?,in,NA,Primera Division,1992,1992/1993
FC Barcelona,Sebastián Herrera,23,Centre-Back,RCD Mallorca,"End of loanJun 1, 1992",in,0,Primera Division,1992,1992/1993
FC Barcelona,Ricardo Serna,28,Centre-Back,Dep. La Coruña,?,out,NA,Primera Division,1992,1992/1993
FC Barcelona,Sebastián Herrera,23,Centre-Back,Burgos CF,Loan,out,0,Primera Division,1992,1992/1993
FC Barcelona,Nando,24,Centre-Back,Real Madrid,?,out,NA,Primera Division,1992,1992/1993
FC Barcelona,Cristóbal Parralo,24,Right-Back,Real Oviedo,?,out,NA,Primera Division,1992,1992/1993
Real Zaragoza,Sergi,25,Left-Back,RCD Mallorca,?,in,NA,Primera Division,1992,1992/1993
Real Zaragoza,Santi Aragón,24,Central Midfield,Real Valladolid,?,in,NA,Primera Division,1992,1992/1993
Real Zaragoza,Andreas Brehme,31,Left-Back,Inter,?,in,NA,Primera Division,1992,1992/1993
Real Zaragoza,José Ramón Bermell,30,Goalkeeper,Cádiz CF,?,in,NA,Primera Division,1992,1992/1993
